round,duration_s,peak_rss_mb,notes
1,1.2836,531.98,acc=0.8768 loss=0.4298
2,0.7277,534.39,acc=0.8935 loss=0.3739
3,0.7259,534.77,acc=0.9055 loss=0.3281
4,0.7419,535.27,acc=0.9163 loss=0.2858
5,0.7281,526.14,acc=0.9213 loss=0.2672
6,0.7288,526.27,acc=0.9266 loss=0.2524
7,0.7305,526.64,acc=0.9291 loss=0.2389
8,0.7257,526.64,acc=0.9339 loss=0.2203
9,0.7266,526.64,acc=0.9385 loss=0.2084
10,0.7248,526.64,acc=0.9451 loss=0.196
11,0.7355,526.64,acc=0.9448 loss=0.1903
12,0.7253,526.64,acc=0.9492 loss=0.1816
13,0.7306,526.64,acc=0.951 loss=0.1695
14,0.7243,526.64,acc=0.9536 loss=0.1632
15,0.7411,526.77,acc=0.9512 loss=0.1666
16,0.7392,526.77,acc=0.9564 loss=0.1533
17,0.7414,526.89,acc=0.9554 loss=0.1564
18,0.7221,526.89,acc=0.9593 loss=0.148
19,0.7313,527.02,acc=0.9607 loss=0.1404
20,0.7288,527.02,acc=0.9619 loss=0.1389
21,0.7285,527.02,acc=0.9622 loss=0.1298
22,0.7302,527.02,acc=0.9636 loss=0.1289
23,0.738,527.02,acc=0.9647 loss=0.124
24,0.7327,527.02,acc=0.9658 loss=0.1213
25,0.7261,527.64,acc=0.9623 loss=0.1277
26,0.7241,527.64,acc=0.9678 loss=0.112
27,0.7339,527.64,acc=0.9668 loss=0.1143
28,0.7344,527.64,acc=0.9649 loss=0.1213
29,0.7262,527.64,acc=0.9662 loss=0.1185
30,0.7293,527.64,acc=0.9688 loss=0.1078
31,0.7299,527.64,acc=0.9651 loss=0.1157
32,0.727,527.77,acc=0.9709 loss=0.1052
33,0.7317,527.77,acc=0.9688 loss=0.1086
34,0.737,527.77,acc=0.9677 loss=0.1079
35,0.7347,527.77,acc=0.9707 loss=0.098
36,0.7293,527.77,acc=0.9711 loss=0.0969
37,0.7313,527.89,acc=0.9726 loss=0.0963
38,0.7283,527.89,acc=0.9715 loss=0.0941
39,0.7317,527.89,acc=0.971 loss=0.0985
40,0.7265,528.02,acc=0.9722 loss=0.0945
41,0.7258,528.02,acc=0.9708 loss=0.0968
42,0.7347,528.02,acc=0.9741 loss=0.088
43,0.7335,528.02,acc=0.9723 loss=0.0957
44,0.7326,528.02,acc=0.9746 loss=0.0879
45,0.7338,528.02,acc=0.9731 loss=0.091
46,0.7282,528.02,acc=0.9712 loss=0.0991
47,0.732,528.02,acc=0.9739 loss=0.0894
48,0.7236,528.02,acc=0.9733 loss=0.0925
49,0.7338,528.02,acc=0.9736 loss=0.0883
50,0.7453,528.02,acc=0.9757 loss=0.0855
51,0.741,528.02,acc=0.9744 loss=0.0857
52,0.7356,513.52,acc=0.9722 loss=0.0911
53,0.7241,513.52,acc=0.9754 loss=0.0852
54,0.7322,513.52,acc=0.976 loss=0.0836
55,0.7295,513.52,acc=0.9742 loss=0.085
56,0.7487,513.52,acc=0.9744 loss=0.0886
57,0.719,513.52,acc=0.975 loss=0.0857
58,0.7326,513.52,acc=0.9737 loss=0.0878
59,0.7297,513.52,acc=0.9767 loss=0.0818
60,0.7351,513.52,acc=0.9756 loss=0.0819
61,0.7493,513.52,acc=0.9754 loss=0.0848
62,0.7393,513.52,acc=0.977 loss=0.0815
63,0.7325,513.64,acc=0.9771 loss=0.0799
64,0.7233,513.64,acc=0.976 loss=0.0804
65,0.7284,513.64,acc=0.9769 loss=0.0769
66,0.7232,513.64,acc=0.9758 loss=0.0818
67,0.73,513.64,acc=0.9766 loss=0.0788
68,0.7299,513.64,acc=0.9776 loss=0.0776
69,0.7386,513.64,acc=0.9769 loss=0.079
70,0.7257,513.64,acc=0.9778 loss=0.0757
71,0.7318,513.64,acc=0.9769 loss=0.0767
72,0.7338,513.64,acc=0.9787 loss=0.0736
73,0.7377,513.64,acc=0.9774 loss=0.0782
74,0.7314,513.64,acc=0.9763 loss=0.0779
75,0.7297,513.64,acc=0.9764 loss=0.0786
76,0.7292,513.64,acc=0.9767 loss=0.0805
77,0.7323,513.64,acc=0.9772 loss=0.0756
78,0.7276,513.64,acc=0.974 loss=0.0833
79,0.7381,513.64,acc=0.9768 loss=0.0826
80,0.7285,513.64,acc=0.9772 loss=0.078
81,0.7333,513.64,acc=0.9773 loss=0.0742
82,0.7378,513.64,acc=0.9775 loss=0.0761
83,0.7329,513.64,acc=0.9783 loss=0.0733
84,0.7341,513.64,acc=0.9767 loss=0.0778
85,0.7371,513.64,acc=0.9786 loss=0.0788
86,0.7375,513.64,acc=0.9765 loss=0.0789
87,0.7283,513.64,acc=0.9775 loss=0.0759
88,0.726,513.64,acc=0.976 loss=0.0779
89,0.7361,513.64,acc=0.979 loss=0.0736
90,0.7271,513.64,acc=0.976 loss=0.0801
91,0.7333,513.64,acc=0.9791 loss=0.0719
92,0.7261,513.64,acc=0.9772 loss=0.0736
93,0.733,513.64,acc=0.9784 loss=0.0722
94,0.7271,513.64,acc=0.9788 loss=0.0728
95,0.7281,513.64,acc=0.9787 loss=0.0737
96,0.7401,513.64,acc=0.979 loss=0.0727
97,0.7323,513.64,acc=0.9783 loss=0.0718
98,0.7293,513.64,acc=0.9791 loss=0.0723
99,0.7307,513.64,acc=0.9784 loss=0.0744
100,0.7379,513.64,acc=0.9788 loss=0.0744
