round,duration_s,peak_rss_mb,notes
1,1.402,521.04,acc=0.8855 loss=0.4295
2,0.7337,523.05,acc=0.8946 loss=0.3808
3,0.7465,524.05,acc=0.9073 loss=0.323
4,0.7405,525.05,acc=0.9209 loss=0.2853
5,0.7404,525.05,acc=0.919 loss=0.2859
6,0.7367,525.18,acc=0.9275 loss=0.2452
7,0.7354,525.68,acc=0.9273 loss=0.2425
8,0.7415,526.05,acc=0.932 loss=0.2342
9,0.7409,526.05,acc=0.9391 loss=0.2088
10,0.7398,526.05,acc=0.9419 loss=0.2072
11,0.7387,526.93,acc=0.9451 loss=0.1932
12,0.7368,526.93,acc=0.9451 loss=0.1834
13,0.7427,526.93,acc=0.9501 loss=0.1716
14,0.7327,526.93,acc=0.9525 loss=0.1656
15,0.7418,526.93,acc=0.9567 loss=0.1575
16,0.7431,526.93,acc=0.9554 loss=0.1577
17,0.7471,526.93,acc=0.9534 loss=0.1554
18,0.7303,526.93,acc=0.9592 loss=0.1432
19,0.73,526.93,acc=0.9589 loss=0.1394
20,0.7374,526.93,acc=0.9607 loss=0.133
21,0.7374,526.93,acc=0.9606 loss=0.1356
22,0.7349,526.93,acc=0.9595 loss=0.1383
23,0.7328,526.93,acc=0.9598 loss=0.1338
24,0.7404,526.93,acc=0.963 loss=0.1274
25,0.7399,526.93,acc=0.9653 loss=0.1196
26,0.7412,526.93,acc=0.9652 loss=0.1228
27,0.735,526.93,acc=0.9648 loss=0.1233
28,0.7317,526.93,acc=0.9684 loss=0.1106
29,0.7449,526.93,acc=0.9657 loss=0.12
30,0.7362,527.05,acc=0.9683 loss=0.108
31,0.7503,527.05,acc=0.9655 loss=0.112
32,0.7387,527.05,acc=0.9689 loss=0.104
33,0.7397,527.05,acc=0.969 loss=0.1068
34,0.7373,527.05,acc=0.9684 loss=0.1033
35,0.734,527.05,acc=0.9704 loss=0.1008
36,0.7351,527.05,acc=0.9702 loss=0.1029
37,0.7434,527.05,acc=0.9698 loss=0.1031
38,0.7536,527.05,acc=0.971 loss=0.1
39,0.7449,527.05,acc=0.9725 loss=0.0964
40,0.7359,527.05,acc=0.9706 loss=0.0993
41,0.7438,527.05,acc=0.9687 loss=0.107
42,0.7413,527.05,acc=0.9729 loss=0.095
43,0.7338,527.05,acc=0.9729 loss=0.094
44,0.7334,527.05,acc=0.9737 loss=0.0883
45,0.7375,527.05,acc=0.9709 loss=0.0957
46,0.7484,527.05,acc=0.9715 loss=0.0954
47,0.7415,527.05,acc=0.974 loss=0.088
48,0.7366,527.05,acc=0.9732 loss=0.0912
49,0.7497,527.18,acc=0.9731 loss=0.0859
50,0.7547,527.18,acc=0.9739 loss=0.0865
51,0.7511,527.18,acc=0.9739 loss=0.0874
52,0.743,515.18,acc=0.9739 loss=0.0852
53,0.7348,515.18,acc=0.9734 loss=0.0882
54,0.7399,515.18,acc=0.9749 loss=0.086
55,0.7385,515.18,acc=0.9722 loss=0.0931
56,0.7418,515.18,acc=0.9741 loss=0.0858
57,0.7372,515.18,acc=0.9748 loss=0.085
58,0.7395,515.18,acc=0.975 loss=0.083
59,0.7376,515.18,acc=0.9743 loss=0.0836
60,0.7293,515.18,acc=0.9755 loss=0.0803
61,0.7501,515.18,acc=0.9749 loss=0.0808
62,0.7425,515.18,acc=0.9763 loss=0.0803
63,0.7435,515.18,acc=0.976 loss=0.0837
64,0.74,515.18,acc=0.9747 loss=0.0837
65,0.7433,515.18,acc=0.9747 loss=0.0843
66,0.7458,515.18,acc=0.9758 loss=0.0778
67,0.7372,515.18,acc=0.9754 loss=0.0816
68,0.7368,515.18,acc=0.9774 loss=0.0797
69,0.7405,515.18,acc=0.9762 loss=0.0791
70,0.7416,515.18,acc=0.9752 loss=0.0835
71,0.7413,515.18,acc=0.9769 loss=0.0784
72,0.7431,515.18,acc=0.9744 loss=0.0842
73,0.7465,515.18,acc=0.9771 loss=0.075
74,0.7403,515.18,acc=0.9756 loss=0.081
75,0.7345,515.18,acc=0.9765 loss=0.0787
76,0.738,515.18,acc=0.9778 loss=0.0728
77,0.7367,515.18,acc=0.9775 loss=0.075
78,0.7345,515.18,acc=0.9767 loss=0.0776
79,0.7429,515.3,acc=0.975 loss=0.0837
80,0.7433,515.3,acc=0.9768 loss=0.0783
81,0.7435,515.3,acc=0.9767 loss=0.0774
82,0.7398,515.3,acc=0.9767 loss=0.0778
83,0.7352,515.3,acc=0.9782 loss=0.0733
84,0.7323,515.3,acc=0.9776 loss=0.0723
85,0.7456,515.3,acc=0.9769 loss=0.0741
86,0.735,515.3,acc=0.9778 loss=0.0739
87,0.7459,515.43,acc=0.9768 loss=0.0757
88,0.7411,515.43,acc=0.9783 loss=0.0775
89,0.7412,515.43,acc=0.9782 loss=0.0748
90,0.7342,515.43,acc=0.9779 loss=0.073
91,0.7396,515.43,acc=0.9776 loss=0.0741
92,0.7375,515.43,acc=0.9783 loss=0.0748
93,0.7372,515.43,acc=0.9762 loss=0.0804
94,0.739,515.43,acc=0.9793 loss=0.0729
95,0.7395,515.43,acc=0.9772 loss=0.0797
96,0.7464,515.43,acc=0.9789 loss=0.0721
97,0.7368,515.43,acc=0.9781 loss=0.0714
98,0.7406,515.43,acc=0.9778 loss=0.0754
99,0.7309,515.43,acc=0.9792 loss=0.0702
100,0.7376,515.43,acc=0.9785 loss=0.0743
