round,duration_s,peak_rss_mb,notes
1,1.1859,523.97,acc=0.8637 loss=0.4571
2,0.7523,525.72,acc=0.9037 loss=0.3436
3,0.7569,526.72,acc=0.9044 loss=0.3259
4,0.7506,527.35,acc=0.9198 loss=0.2814
5,0.7497,527.85,acc=0.9107 loss=0.2887
6,0.7501,527.97,acc=0.9149 loss=0.2751
7,0.7423,527.97,acc=0.929 loss=0.2421
8,0.7418,527.97,acc=0.9341 loss=0.2286
9,0.7576,527.97,acc=0.9408 loss=0.2049
10,0.7524,527.97,acc=0.9426 loss=0.1993
11,0.7448,527.97,acc=0.938 loss=0.2026
12,0.7412,527.97,acc=0.9475 loss=0.1786
13,0.7525,527.97,acc=0.9481 loss=0.1716
14,0.7535,527.97,acc=0.9498 loss=0.1721
15,0.7551,527.97,acc=0.9557 loss=0.1566
16,0.741,528.1,acc=0.9533 loss=0.1594
17,0.7531,528.1,acc=0.951 loss=0.1601
18,0.7442,528.1,acc=0.9565 loss=0.1526
19,0.7519,528.1,acc=0.9605 loss=0.1389
20,0.7418,528.47,acc=0.9594 loss=0.1369
21,0.7502,528.47,acc=0.9639 loss=0.1263
22,0.7603,528.47,acc=0.9602 loss=0.1407
23,0.7531,528.47,acc=0.9629 loss=0.1317
24,0.7443,528.47,acc=0.9645 loss=0.124
25,0.7519,528.47,acc=0.9647 loss=0.1212
26,0.7499,528.47,acc=0.9647 loss=0.1181
27,0.7439,528.72,acc=0.9673 loss=0.1133
28,0.7428,528.72,acc=0.9661 loss=0.111
29,0.7527,528.72,acc=0.9687 loss=0.1083
30,0.753,528.72,acc=0.9693 loss=0.1038
31,0.7469,528.72,acc=0.9695 loss=0.1063
32,0.7457,528.72,acc=0.9699 loss=0.1045
33,0.7493,528.72,acc=0.9713 loss=0.1022
34,0.7495,528.72,acc=0.97 loss=0.1052
35,0.7443,528.72,acc=0.9699 loss=0.1052
36,0.7473,528.72,acc=0.972 loss=0.0938
37,0.7548,528.72,acc=0.972 loss=0.0964
38,0.7795,528.72,acc=0.9719 loss=0.0963
39,0.7461,528.72,acc=0.9711 loss=0.0988
40,0.7466,528.72,acc=0.9703 loss=0.097
41,0.7472,528.72,acc=0.9727 loss=0.0961
42,0.7545,528.72,acc=0.9731 loss=0.0908
43,0.7462,528.72,acc=0.9744 loss=0.0905
44,0.7417,528.72,acc=0.9736 loss=0.0888
45,0.7465,528.72,acc=0.9726 loss=0.0923
46,0.7477,528.72,acc=0.9741 loss=0.0886
47,0.7543,528.85,acc=0.9739 loss=0.0898
48,0.7618,528.85,acc=0.9731 loss=0.0884
49,0.7491,528.85,acc=0.9742 loss=0.0851
50,0.7776,528.85,acc=0.9741 loss=0.0911
51,0.7595,528.85,acc=0.9738 loss=0.0876
52,0.7458,528.85,acc=0.9753 loss=0.0854
53,0.7447,528.85,acc=0.9751 loss=0.0869
54,0.7407,528.85,acc=0.9751 loss=0.0823
55,0.7486,528.85,acc=0.9754 loss=0.0842
56,0.7434,528.85,acc=0.9761 loss=0.0821
57,0.752,528.85,acc=0.9766 loss=0.0798
58,0.7592,528.85,acc=0.9757 loss=0.0822
59,0.7522,528.85,acc=0.9733 loss=0.0876
60,0.7564,528.85,acc=0.9742 loss=0.0853
61,0.775,528.85,acc=0.9748 loss=0.0825
62,0.7491,528.85,acc=0.9768 loss=0.0794
63,0.7496,528.85,acc=0.976 loss=0.0767
64,0.7503,528.85,acc=0.9758 loss=0.0811
65,0.7535,528.85,acc=0.9763 loss=0.0785
66,0.7613,528.85,acc=0.9759 loss=0.0801
67,0.7529,528.85,acc=0.975 loss=0.0837
68,0.7455,528.97,acc=0.9749 loss=0.0823
69,0.7484,528.97,acc=0.9758 loss=0.0829
70,0.7521,528.97,acc=0.9753 loss=0.083
71,0.7515,528.97,acc=0.9744 loss=0.0859
72,0.7444,528.97,acc=0.977 loss=0.0783
73,0.762,528.97,acc=0.9755 loss=0.0771
74,0.7421,528.97,acc=0.9766 loss=0.0759
75,0.7338,528.97,acc=0.9771 loss=0.0754
76,0.7602,528.97,acc=0.9744 loss=0.0852
77,0.7397,528.97,acc=0.9766 loss=0.0764
78,0.7482,528.97,acc=0.9767 loss=0.0748
79,0.7389,528.97,acc=0.9767 loss=0.0746
80,0.7503,528.97,acc=0.9722 loss=0.0886
81,0.7533,528.97,acc=0.9766 loss=0.0764
82,0.7524,528.97,acc=0.978 loss=0.0744
83,0.7471,528.97,acc=0.977 loss=0.0754
84,0.7495,528.97,acc=0.9784 loss=0.0759
85,0.7426,528.97,acc=0.9773 loss=0.0768
86,0.7432,528.97,acc=0.9773 loss=0.0739
87,0.748,528.97,acc=0.9766 loss=0.0785
88,0.7482,528.97,acc=0.9758 loss=0.0767
89,0.7478,528.97,acc=0.9784 loss=0.0719
90,0.7547,528.97,acc=0.9766 loss=0.0764
91,0.753,528.97,acc=0.9755 loss=0.0782
92,0.7607,529.1,acc=0.9789 loss=0.0734
93,0.752,529.1,acc=0.9778 loss=0.0738
94,0.7498,529.1,acc=0.9787 loss=0.0744
95,0.75,529.1,acc=0.9783 loss=0.0721
96,0.7512,529.1,acc=0.9785 loss=0.0728
97,0.747,529.1,acc=0.9754 loss=0.0814
98,0.7376,529.1,acc=0.9772 loss=0.0725
99,0.7448,529.1,acc=0.9754 loss=0.0779
100,0.7483,529.1,acc=0.9783 loss=0.073
