round,duration_s,peak_rss_mb,notes
1,1.4581,552.09,acc=0.8805 loss=0.4337
2,0.7296,554.09,acc=0.8952 loss=0.3538
3,0.7397,554.59,acc=0.9118 loss=0.3115
4,0.7327,555.59,acc=0.9134 loss=0.2976
5,0.729,555.59,acc=0.9252 loss=0.2715
6,0.737,555.59,acc=0.9273 loss=0.2536
7,0.7409,555.59,acc=0.9289 loss=0.2448
8,0.7371,555.59,acc=0.9364 loss=0.2249
9,0.7563,555.59,acc=0.9409 loss=0.2082
10,0.7325,555.59,acc=0.9383 loss=0.205
11,0.7363,556.47,acc=0.9424 loss=0.1959
12,0.7352,556.47,acc=0.9469 loss=0.1863
13,0.7399,556.47,acc=0.951 loss=0.1739
14,0.7359,556.47,acc=0.9438 loss=0.1891
15,0.7342,556.47,acc=0.9536 loss=0.1636
16,0.7425,556.47,acc=0.9533 loss=0.1647
17,0.7357,556.47,acc=0.9539 loss=0.1601
18,0.737,556.84,acc=0.956 loss=0.1499
19,0.7341,556.84,acc=0.9591 loss=0.1424
20,0.7363,556.84,acc=0.9618 loss=0.1378
21,0.7377,556.84,acc=0.9619 loss=0.1352
22,0.7387,556.97,acc=0.9622 loss=0.1338
23,0.7345,556.97,acc=0.9644 loss=0.1275
24,0.7351,557.09,acc=0.9653 loss=0.1214
25,0.7266,557.09,acc=0.9672 loss=0.117
26,0.7275,557.09,acc=0.9655 loss=0.1231
27,0.7298,557.09,acc=0.9622 loss=0.1232
28,0.7355,557.09,acc=0.9676 loss=0.1144
29,0.7282,557.09,acc=0.9673 loss=0.1132
30,0.7351,557.09,acc=0.9684 loss=0.1106
31,0.7287,557.09,acc=0.9659 loss=0.1149
32,0.7336,557.09,acc=0.9707 loss=0.1072
33,0.7322,557.09,acc=0.9681 loss=0.1097
34,0.7336,557.09,acc=0.9683 loss=0.1113
35,0.7333,557.09,acc=0.971 loss=0.1005
36,0.731,557.09,acc=0.9704 loss=0.1036
37,0.743,557.09,acc=0.9707 loss=0.0992
38,0.7329,557.09,acc=0.97 loss=0.1009
39,0.725,557.09,acc=0.9709 loss=0.0994
40,0.7426,557.09,acc=0.97 loss=0.101
41,0.7422,557.09,acc=0.9728 loss=0.0939
42,0.7405,557.09,acc=0.9716 loss=0.0959
43,0.7311,557.09,acc=0.971 loss=0.1018
44,0.7275,557.22,acc=0.9735 loss=0.093
45,0.7361,557.22,acc=0.9737 loss=0.0902
46,0.7347,557.22,acc=0.9719 loss=0.0951
47,0.7298,557.22,acc=0.9738 loss=0.09
48,0.7437,557.22,acc=0.9717 loss=0.0974
49,0.732,557.22,acc=0.973 loss=0.092
50,0.7406,557.22,acc=0.9753 loss=0.0846
51,0.7302,557.22,acc=0.9722 loss=0.0923
52,0.7342,557.22,acc=0.9742 loss=0.0936
53,0.7381,557.22,acc=0.9733 loss=0.0915
54,0.7347,557.22,acc=0.9747 loss=0.0896
55,0.7513,557.22,acc=0.9751 loss=0.0864
56,0.7469,557.22,acc=0.9761 loss=0.0841
57,0.7406,557.22,acc=0.9746 loss=0.0851
58,0.7425,557.22,acc=0.9746 loss=0.0863
59,0.738,557.22,acc=0.974 loss=0.0857
60,0.7418,557.22,acc=0.9749 loss=0.0869
61,0.7353,557.22,acc=0.9733 loss=0.091
62,0.73,557.22,acc=0.9761 loss=0.0817
63,0.7325,557.22,acc=0.9736 loss=0.0871
64,0.7299,557.22,acc=0.9767 loss=0.079
65,0.7354,557.22,acc=0.9756 loss=0.0883
66,0.7416,557.34,acc=0.9756 loss=0.0817
67,0.7334,557.34,acc=0.9768 loss=0.0796
68,0.7378,557.34,acc=0.976 loss=0.0842
69,0.735,557.34,acc=0.9746 loss=0.0826
70,0.7303,557.34,acc=0.9768 loss=0.0794
71,0.7371,557.34,acc=0.978 loss=0.0793
72,0.7933,534.45,acc=0.9759 loss=0.0831
73,0.7373,534.63,acc=0.9766 loss=0.0798
74,0.7319,534.63,acc=0.9774 loss=0.077
75,0.7317,534.63,acc=0.9779 loss=0.0771
76,0.7446,534.63,acc=0.9767 loss=0.0812
77,0.7315,534.63,acc=0.9776 loss=0.0752
78,0.738,534.63,acc=0.9759 loss=0.0825
79,0.7318,534.63,acc=0.9776 loss=0.0781
80,0.7378,534.63,acc=0.9772 loss=0.0777
81,0.7398,534.75,acc=0.9778 loss=0.0745
82,0.7362,534.75,acc=0.9781 loss=0.0764
83,0.7328,534.75,acc=0.9765 loss=0.0778
84,0.732,534.75,acc=0.9773 loss=0.0779
85,0.7414,534.75,acc=0.9788 loss=0.0746
86,0.7344,534.75,acc=0.9787 loss=0.0795
87,0.733,534.75,acc=0.9782 loss=0.0759
88,0.7278,534.75,acc=0.9788 loss=0.076
89,0.7372,534.75,acc=0.9779 loss=0.0761
90,0.7331,534.75,acc=0.9779 loss=0.075
91,0.7287,534.75,acc=0.9758 loss=0.0803
92,0.7296,534.75,acc=0.9786 loss=0.0743
93,0.7431,534.75,acc=0.9759 loss=0.0807
94,0.7373,534.75,acc=0.9786 loss=0.0737
95,0.7307,534.75,acc=0.9779 loss=0.0749
96,0.7361,534.75,acc=0.9771 loss=0.0746
97,0.7355,534.75,acc=0.9784 loss=0.0765
98,0.7382,534.75,acc=0.9776 loss=0.076
99,0.7444,534.75,acc=0.9786 loss=0.0727
100,0.7398,534.75,acc=0.9784 loss=0.0725
