round,duration_s,peak_rss_mb,notes
1,1.4905,542.11,acc=0.8746 loss=0.4446
2,0.7408,545.11,acc=0.9006 loss=0.351
3,0.7438,546.11,acc=0.9134 loss=0.3066
4,0.7427,546.98,acc=0.9144 loss=0.301
5,0.747,546.98,acc=0.9209 loss=0.2715
6,0.7448,547.11,acc=0.9299 loss=0.2445
7,0.75,547.11,acc=0.9279 loss=0.247
8,0.7458,547.23,acc=0.936 loss=0.2231
9,0.7604,547.23,acc=0.938 loss=0.2107
10,0.7384,547.23,acc=0.9413 loss=0.203
11,0.7415,547.23,acc=0.9423 loss=0.2003
12,0.7398,547.36,acc=0.9467 loss=0.1833
13,0.7394,547.36,acc=0.9505 loss=0.1697
14,0.7322,547.36,acc=0.9516 loss=0.1653
15,0.7444,547.36,acc=0.9517 loss=0.1693
16,0.735,547.48,acc=0.9572 loss=0.1508
17,0.7567,547.73,acc=0.9543 loss=0.1578
18,0.7407,547.73,acc=0.9541 loss=0.157
19,0.749,539.11,acc=0.9592 loss=0.144
20,0.751,539.11,acc=0.9587 loss=0.1393
21,0.738,539.11,acc=0.9616 loss=0.136
22,0.7346,539.11,acc=0.9627 loss=0.1279
23,0.7437,539.11,acc=0.9622 loss=0.1253
24,0.7472,539.36,acc=0.9644 loss=0.1217
25,0.7415,530.23,acc=0.9647 loss=0.124
26,0.7393,530.39,acc=0.9668 loss=0.1159
27,0.7667,530.39,acc=0.9656 loss=0.1158
28,0.7474,530.39,acc=0.967 loss=0.1129
29,0.7477,530.39,acc=0.9618 loss=0.1245
30,0.7368,530.39,acc=0.9654 loss=0.1167
31,0.7363,530.39,acc=0.9667 loss=0.1111
32,0.751,530.52,acc=0.9686 loss=0.1074
33,0.7313,530.52,acc=0.9706 loss=0.0999
34,0.7408,530.52,acc=0.9712 loss=0.0993
35,0.7332,530.52,acc=0.9692 loss=0.106
36,0.7374,530.52,acc=0.9712 loss=0.0999
37,0.7307,530.52,acc=0.9714 loss=0.0986
38,0.7435,530.52,acc=0.9713 loss=0.0967
39,0.7322,530.52,acc=0.9724 loss=0.0917
40,0.7415,530.52,acc=0.972 loss=0.0935
41,0.7385,530.52,acc=0.9722 loss=0.0942
42,0.744,530.52,acc=0.9708 loss=0.0974
43,0.7475,530.52,acc=0.9731 loss=0.0899
44,0.7423,530.52,acc=0.9741 loss=0.0883
45,0.7491,530.52,acc=0.9721 loss=0.0948
46,0.749,530.52,acc=0.9732 loss=0.0907
47,0.7336,530.52,acc=0.9749 loss=0.0882
48,0.7422,530.52,acc=0.974 loss=0.09
49,0.7493,530.52,acc=0.9736 loss=0.0892
50,0.7522,530.52,acc=0.9727 loss=0.0905
51,0.7436,530.52,acc=0.9728 loss=0.0927
52,0.7467,530.52,acc=0.9745 loss=0.0831
53,0.7419,530.52,acc=0.9727 loss=0.0924
54,0.7435,530.52,acc=0.9743 loss=0.0865
55,0.75,530.52,acc=0.9748 loss=0.0846
56,0.7494,530.52,acc=0.9756 loss=0.0841
57,0.7428,530.52,acc=0.9758 loss=0.081
58,0.7395,530.52,acc=0.9745 loss=0.0856
59,0.7446,530.52,acc=0.9767 loss=0.0789
60,0.7469,530.52,acc=0.9741 loss=0.0838
61,0.7628,530.52,acc=0.9757 loss=0.0811
62,0.7428,530.52,acc=0.9767 loss=0.0803
63,0.7338,530.52,acc=0.9773 loss=0.077
64,0.7544,530.52,acc=0.9756 loss=0.0811
65,0.7486,530.52,acc=0.9761 loss=0.0815
66,0.7402,530.52,acc=0.9772 loss=0.0778
67,0.744,530.52,acc=0.9765 loss=0.0793
68,0.7429,530.52,acc=0.9745 loss=0.0853
69,0.7406,530.64,acc=0.9761 loss=0.0789
70,0.7438,530.64,acc=0.9766 loss=0.0793
71,0.7427,530.64,acc=0.977 loss=0.0782
72,0.7448,530.64,acc=0.9781 loss=0.076
73,0.7474,530.64,acc=0.977 loss=0.0791
74,0.7423,530.64,acc=0.9778 loss=0.0755
75,0.7525,530.64,acc=0.9771 loss=0.0758
76,0.7415,530.64,acc=0.9735 loss=0.0874
77,0.7381,530.64,acc=0.976 loss=0.0797
78,0.7391,530.64,acc=0.9765 loss=0.0774
79,0.7459,530.64,acc=0.9758 loss=0.0793
80,0.7358,530.64,acc=0.9762 loss=0.0797
81,0.7472,530.64,acc=0.9779 loss=0.0738
82,0.7375,530.64,acc=0.9781 loss=0.0752
83,0.7409,530.64,acc=0.9787 loss=0.0744
84,0.7463,530.64,acc=0.9785 loss=0.0744
85,0.744,530.64,acc=0.9786 loss=0.0722
86,0.7441,530.64,acc=0.9773 loss=0.077
87,0.7384,530.64,acc=0.9789 loss=0.0741
88,0.7474,530.64,acc=0.9781 loss=0.0765
89,0.7524,530.64,acc=0.9779 loss=0.0754
90,0.7463,530.64,acc=0.9785 loss=0.0745
91,0.742,530.64,acc=0.9786 loss=0.0738
92,0.7424,530.64,acc=0.9784 loss=0.0727
93,0.7323,530.64,acc=0.9779 loss=0.0748
94,0.7434,530.64,acc=0.9771 loss=0.0752
95,0.7417,530.64,acc=0.9779 loss=0.0745
96,0.7578,530.64,acc=0.9773 loss=0.076
97,0.7561,530.64,acc=0.9787 loss=0.0731
98,0.7412,530.64,acc=0.9777 loss=0.0759
99,0.7416,530.64,acc=0.9791 loss=0.0734
100,0.7481,530.64,acc=0.978 loss=0.0748
