round,duration_s,peak_rss_mb,notes
1,1.3389,549.53,acc=0.8845 loss=0.4331
2,0.7538,551.53,acc=0.8984 loss=0.351
3,0.7336,552.4,acc=0.9067 loss=0.3308
4,0.747,553.4,acc=0.9076 loss=0.314
5,0.7376,553.53,acc=0.9202 loss=0.2766
6,0.7428,553.65,acc=0.9275 loss=0.2504
7,0.7419,553.9,acc=0.9244 loss=0.2574
8,0.7418,553.9,acc=0.9357 loss=0.2255
9,0.7406,554.03,acc=0.9403 loss=0.2154
10,0.7369,554.4,acc=0.9405 loss=0.198
11,0.7426,554.4,acc=0.9432 loss=0.1935
12,0.7467,554.4,acc=0.9433 loss=0.1902
13,0.731,554.4,acc=0.9454 loss=0.1908
14,0.7396,554.53,acc=0.952 loss=0.1667
15,0.7453,554.53,acc=0.9541 loss=0.1593
16,0.731,554.53,acc=0.9486 loss=0.1675
17,0.7356,554.53,acc=0.9519 loss=0.1578
18,0.7334,554.53,acc=0.9596 loss=0.1409
19,0.7441,554.53,acc=0.9588 loss=0.142
20,0.7426,554.53,acc=0.9592 loss=0.1366
21,0.7443,546.55,acc=0.9602 loss=0.1351
22,0.7483,546.55,acc=0.9623 loss=0.1365
23,0.7381,546.55,acc=0.9629 loss=0.1281
24,0.7439,546.55,acc=0.9649 loss=0.1201
25,0.7411,540.05,acc=0.9637 loss=0.1253
26,0.7556,540.05,acc=0.9613 loss=0.1287
27,0.7395,540.05,acc=0.9658 loss=0.1127
28,0.7443,540.05,acc=0.9634 loss=0.1183
29,0.7419,540.05,acc=0.9653 loss=0.1148
30,0.7528,540.05,acc=0.9652 loss=0.1187
31,0.7446,540.05,acc=0.9639 loss=0.1187
32,0.7372,540.05,acc=0.9664 loss=0.1098
33,0.7495,540.05,acc=0.9695 loss=0.102
34,0.7494,540.05,acc=0.9674 loss=0.1097
35,0.7468,540.05,acc=0.9681 loss=0.1111
36,0.7378,540.05,acc=0.97 loss=0.0989
37,0.7472,540.05,acc=0.9691 loss=0.1039
38,0.746,540.05,acc=0.9671 loss=0.1073
39,0.7466,540.05,acc=0.97 loss=0.0993
40,0.7424,540.05,acc=0.9699 loss=0.0976
41,0.7443,540.05,acc=0.9704 loss=0.1
42,0.7338,540.05,acc=0.9731 loss=0.092
43,0.743,540.05,acc=0.972 loss=0.0958
44,0.7406,540.05,acc=0.972 loss=0.0959
45,0.7519,540.18,acc=0.9713 loss=0.0958
46,0.7448,540.18,acc=0.9713 loss=0.094
47,0.742,540.3,acc=0.9736 loss=0.0891
48,0.7445,540.3,acc=0.9756 loss=0.086
49,0.7419,540.3,acc=0.9734 loss=0.0895
50,0.7523,540.3,acc=0.9724 loss=0.0955
51,0.7452,540.3,acc=0.971 loss=0.0956
52,0.7379,540.3,acc=0.9748 loss=0.0838
53,0.7501,540.3,acc=0.9747 loss=0.0873
54,0.74,540.3,acc=0.9765 loss=0.083
55,0.7417,540.3,acc=0.9755 loss=0.0829
56,0.744,540.3,acc=0.9756 loss=0.0846
57,0.7433,540.3,acc=0.9748 loss=0.083
58,0.7464,540.3,acc=0.9768 loss=0.079
59,0.7576,540.3,acc=0.9754 loss=0.0828
60,0.7386,540.3,acc=0.9753 loss=0.0816
61,0.7469,540.3,acc=0.9757 loss=0.0832
62,0.739,540.3,acc=0.976 loss=0.0824
63,0.7451,540.3,acc=0.9755 loss=0.0809
64,0.7368,540.3,acc=0.9757 loss=0.0787
65,0.7343,540.3,acc=0.9766 loss=0.0792
66,0.7433,540.3,acc=0.9762 loss=0.0803
67,0.7449,540.3,acc=0.9757 loss=0.0791
68,0.7459,540.3,acc=0.9762 loss=0.0775
69,0.7388,540.43,acc=0.9749 loss=0.0828
70,0.7413,540.43,acc=0.9759 loss=0.0789
71,0.7477,540.43,acc=0.977 loss=0.0787
72,0.7475,540.43,acc=0.9748 loss=0.0821
73,0.7364,540.43,acc=0.9763 loss=0.0785
74,0.7322,540.43,acc=0.9766 loss=0.0753
75,0.7336,540.43,acc=0.9769 loss=0.0761
76,0.7384,540.43,acc=0.9772 loss=0.0758
77,0.7443,540.43,acc=0.9786 loss=0.0739
78,0.742,540.43,acc=0.9791 loss=0.0743
79,0.747,540.43,acc=0.9759 loss=0.0785
80,0.741,540.43,acc=0.9776 loss=0.074
81,0.738,540.43,acc=0.9748 loss=0.0802
82,0.7481,540.43,acc=0.9765 loss=0.0782
83,0.7439,540.43,acc=0.9778 loss=0.0748
84,0.7452,540.43,acc=0.9773 loss=0.0754
85,0.7368,540.43,acc=0.9766 loss=0.0781
86,0.7445,540.43,acc=0.978 loss=0.0754
87,0.7394,540.43,acc=0.979 loss=0.074
88,0.7447,540.43,acc=0.9782 loss=0.0712
89,0.7457,540.43,acc=0.9759 loss=0.0779
90,0.7551,540.43,acc=0.9753 loss=0.0781
91,0.7376,540.43,acc=0.9784 loss=0.0714
92,0.749,540.43,acc=0.9775 loss=0.0754
93,0.7413,540.43,acc=0.9785 loss=0.0727
94,0.7437,540.43,acc=0.979 loss=0.0717
95,0.7465,540.43,acc=0.9779 loss=0.0723
96,0.7523,540.43,acc=0.9777 loss=0.0715
97,0.7408,540.43,acc=0.9763 loss=0.0757
98,0.7438,540.43,acc=0.9779 loss=0.0717
99,0.7457,540.43,acc=0.9769 loss=0.0764
100,0.7406,540.43,acc=0.9772 loss=0.0742
