round,duration_s,peak_rss_mb,notes
1,1.356,535.69,acc=0.8687 loss=0.4531
2,0.7572,537.94,acc=0.8981 loss=0.3488
3,0.7397,538.69,acc=0.9085 loss=0.3114
4,0.733,539.44,acc=0.9168 loss=0.2882
5,0.751,539.44,acc=0.9189 loss=0.2772
6,0.7429,539.44,acc=0.9197 loss=0.2632
7,0.8391,539.44,acc=0.9283 loss=0.24
8,0.7401,539.44,acc=0.9362 loss=0.224
9,0.7432,539.56,acc=0.9379 loss=0.2098
10,0.7374,539.69,acc=0.9442 loss=0.199
11,0.7435,539.94,acc=0.9404 loss=0.1998
12,0.751,540.31,acc=0.9412 loss=0.1963
13,0.745,540.31,acc=0.9484 loss=0.1791
14,0.7406,530.56,acc=0.9466 loss=0.1775
15,0.7701,530.56,acc=0.9526 loss=0.1673
16,0.7366,530.56,acc=0.9557 loss=0.1507
17,0.7509,530.56,acc=0.9554 loss=0.1505
18,0.7407,530.81,acc=0.9591 loss=0.1465
19,0.7461,530.81,acc=0.9591 loss=0.1449
20,0.7428,530.81,acc=0.9562 loss=0.147
21,0.7444,530.81,acc=0.961 loss=0.138
22,0.7434,530.81,acc=0.9632 loss=0.1289
23,0.7395,530.94,acc=0.9628 loss=0.1279
24,0.7519,530.94,acc=0.9633 loss=0.1265
25,0.7409,530.94,acc=0.9664 loss=0.1171
26,0.7416,530.94,acc=0.9634 loss=0.1274
27,0.7454,530.94,acc=0.9656 loss=0.1219
28,0.7603,530.94,acc=0.9657 loss=0.1155
29,0.7435,530.94,acc=0.9684 loss=0.1095
30,0.7534,530.94,acc=0.9678 loss=0.1076
31,0.7496,530.94,acc=0.9671 loss=0.1101
32,0.7509,530.94,acc=0.9675 loss=0.1057
33,0.7509,530.94,acc=0.9674 loss=0.1091
34,0.7559,530.94,acc=0.9688 loss=0.1013
35,0.747,530.94,acc=0.9689 loss=0.1021
36,0.7514,530.94,acc=0.9705 loss=0.0973
37,0.7401,530.94,acc=0.9705 loss=0.1007
38,0.7723,531.06,acc=0.97 loss=0.0967
39,0.7496,531.06,acc=0.9716 loss=0.0956
40,0.7568,531.06,acc=0.9715 loss=0.0932
41,0.7525,531.06,acc=0.9714 loss=0.0947
42,0.7479,531.06,acc=0.9722 loss=0.0925
43,0.7583,531.06,acc=0.9705 loss=0.0982
44,0.7465,531.06,acc=0.9701 loss=0.0948
45,0.7481,531.06,acc=0.9723 loss=0.0883
46,0.748,531.06,acc=0.9719 loss=0.0933
47,0.7549,531.06,acc=0.9713 loss=0.0925
48,0.7473,531.06,acc=0.9659 loss=0.1091
49,0.7629,531.06,acc=0.9734 loss=0.0895
50,0.7731,531.06,acc=0.9735 loss=0.0885
51,0.7465,531.19,acc=0.9713 loss=0.0936
52,0.7398,531.19,acc=0.9706 loss=0.0926
53,0.7485,531.19,acc=0.9743 loss=0.0854
54,0.7477,531.19,acc=0.9746 loss=0.0829
55,0.7494,531.19,acc=0.9735 loss=0.0848
56,0.7679,531.19,acc=0.9737 loss=0.0857
57,0.7464,531.19,acc=0.9749 loss=0.084
58,0.7453,531.19,acc=0.9753 loss=0.0822
59,0.7488,531.19,acc=0.9749 loss=0.0817
60,0.7478,531.19,acc=0.9754 loss=0.0856
61,0.7596,531.19,acc=0.9724 loss=0.0918
62,0.7562,531.19,acc=0.9758 loss=0.0814
63,0.7413,531.19,acc=0.9765 loss=0.0805
64,0.7532,531.19,acc=0.9751 loss=0.0818
65,0.757,531.19,acc=0.9757 loss=0.0816
66,0.7519,531.19,acc=0.974 loss=0.0847
67,0.7539,531.19,acc=0.9766 loss=0.0772
68,0.7487,531.19,acc=0.9748 loss=0.0834
69,0.7511,531.19,acc=0.9758 loss=0.0787
70,0.7495,531.19,acc=0.9763 loss=0.0809
71,0.7391,531.31,acc=0.9769 loss=0.0774
72,0.7397,531.31,acc=0.9769 loss=0.0784
73,0.7612,531.31,acc=0.9763 loss=0.08
74,0.7623,531.31,acc=0.9763 loss=0.0789
75,0.754,531.31,acc=0.9765 loss=0.0812
76,0.753,531.31,acc=0.9748 loss=0.0821
77,0.753,531.31,acc=0.9762 loss=0.0791
78,0.7444,531.31,acc=0.9765 loss=0.0759
79,0.7464,531.31,acc=0.9764 loss=0.0777
80,0.743,531.31,acc=0.9777 loss=0.079
81,0.7435,531.31,acc=0.9762 loss=0.0773
82,0.7446,531.31,acc=0.9782 loss=0.0733
83,0.7485,531.31,acc=0.9766 loss=0.076
84,0.7568,531.31,acc=0.9768 loss=0.0782
85,0.7432,531.31,acc=0.9781 loss=0.0753
86,0.7431,531.31,acc=0.9769 loss=0.0731
87,0.7492,531.31,acc=0.9769 loss=0.0768
88,0.7476,531.31,acc=0.9775 loss=0.0758
89,0.746,531.31,acc=0.9783 loss=0.0763
90,0.7427,531.31,acc=0.9773 loss=0.0733
91,0.7464,531.31,acc=0.9762 loss=0.0769
92,0.7417,531.31,acc=0.9779 loss=0.0721
93,0.7448,531.31,acc=0.9778 loss=0.075
94,0.7444,531.31,acc=0.9784 loss=0.0732
95,0.7576,531.31,acc=0.9764 loss=0.076
96,0.7463,531.31,acc=0.9749 loss=0.0784
97,0.7574,531.31,acc=0.9777 loss=0.0768
98,0.7383,531.31,acc=0.9756 loss=0.0789
99,0.75,531.31,acc=0.9761 loss=0.0792
100,0.755,531.31,acc=0.9762 loss=0.0768
