round,duration_s,peak_rss_mb,notes
1,1.4534,548.35,acc=0.8769 loss=0.4383
2,0.7444,550.23,acc=0.8934 loss=0.3589
3,0.736,551.48,acc=0.9087 loss=0.3132
4,0.7493,551.73,acc=0.9183 loss=0.2846
5,0.7445,551.98,acc=0.9258 loss=0.2604
6,0.7307,551.98,acc=0.9294 loss=0.244
7,0.7326,551.98,acc=0.9343 loss=0.2288
8,0.742,552.1,acc=0.9374 loss=0.217
9,0.7427,552.1,acc=0.9372 loss=0.2083
10,0.7335,552.1,acc=0.9425 loss=0.195
11,0.7326,552.1,acc=0.9389 loss=0.1942
12,0.7419,552.85,acc=0.9484 loss=0.1744
13,0.7321,552.98,acc=0.95 loss=0.1728
14,0.7415,552.98,acc=0.9555 loss=0.1573
15,0.747,552.98,acc=0.9487 loss=0.1623
16,0.7353,553.1,acc=0.9544 loss=0.1553
17,0.7528,545.17,acc=0.9544 loss=0.1531
18,0.7408,545.17,acc=0.959 loss=0.1392
19,0.744,545.17,acc=0.9589 loss=0.1376
20,0.7386,545.17,acc=0.9627 loss=0.1329
21,0.74,545.17,acc=0.9599 loss=0.1367
22,0.7405,545.17,acc=0.9645 loss=0.1289
23,0.7351,538.45,acc=0.9629 loss=0.1283
24,0.738,538.45,acc=0.9623 loss=0.1234
25,0.7447,538.45,acc=0.9664 loss=0.1148
26,0.7374,538.45,acc=0.9663 loss=0.1151
27,0.7506,538.45,acc=0.9675 loss=0.1138
28,0.7291,538.45,acc=0.9686 loss=0.1103
29,0.7406,538.45,acc=0.9683 loss=0.1132
30,0.7357,538.45,acc=0.9644 loss=0.1185
31,0.7386,538.45,acc=0.9676 loss=0.1126
32,0.7384,538.45,acc=0.9709 loss=0.1002
33,0.7347,538.45,acc=0.9705 loss=0.0986
34,0.7444,538.45,acc=0.9714 loss=0.1007
35,0.7367,538.45,acc=0.9702 loss=0.1
36,0.7408,538.45,acc=0.9688 loss=0.1023
37,0.7349,538.45,acc=0.9695 loss=0.0972
38,0.741,538.45,acc=0.9716 loss=0.0944
39,0.7404,538.45,acc=0.9732 loss=0.0913
40,0.7337,538.45,acc=0.9726 loss=0.0928
41,0.7406,538.45,acc=0.9723 loss=0.0955
42,0.7402,538.57,acc=0.9718 loss=0.0928
43,0.7424,538.57,acc=0.9734 loss=0.0875
44,0.7415,538.57,acc=0.9731 loss=0.0882
45,0.7395,538.57,acc=0.9742 loss=0.0872
46,0.7319,538.57,acc=0.9716 loss=0.0921
47,0.7414,538.57,acc=0.9736 loss=0.0883
48,0.7401,538.57,acc=0.9731 loss=0.0926
49,0.746,538.57,acc=0.9735 loss=0.0899
50,0.7442,538.7,acc=0.9744 loss=0.087
51,0.7331,538.7,acc=0.974 loss=0.0844
52,0.7312,538.7,acc=0.9747 loss=0.0842
53,0.747,538.7,acc=0.9752 loss=0.0825
54,0.7436,538.7,acc=0.9751 loss=0.0833
55,0.7415,538.7,acc=0.9753 loss=0.082
56,0.7376,538.7,acc=0.9757 loss=0.0832
57,0.7459,538.7,acc=0.9759 loss=0.0819
58,0.7406,538.7,acc=0.9761 loss=0.0806
59,0.7435,538.7,acc=0.9755 loss=0.0838
60,0.7375,538.7,acc=0.976 loss=0.0791
61,0.7496,538.7,acc=0.9755 loss=0.0786
62,0.738,538.7,acc=0.9776 loss=0.0787
63,0.7348,538.7,acc=0.9762 loss=0.0788
64,0.7403,538.7,acc=0.9759 loss=0.0806
65,0.7477,538.7,acc=0.9757 loss=0.0805
66,0.7349,538.82,acc=0.9757 loss=0.079
67,0.7394,538.82,acc=0.9761 loss=0.0818
68,0.7329,538.82,acc=0.9751 loss=0.0798
69,0.7333,538.82,acc=0.9744 loss=0.0848
70,0.7411,538.82,acc=0.977 loss=0.0758
71,0.7348,538.82,acc=0.9769 loss=0.0793
72,0.7499,538.82,acc=0.9747 loss=0.0815
73,0.75,538.82,acc=0.9777 loss=0.0732
74,0.7425,538.82,acc=0.9776 loss=0.0747
75,0.7439,538.82,acc=0.9764 loss=0.0762
76,0.7386,538.82,acc=0.9783 loss=0.0718
77,0.7413,538.82,acc=0.9777 loss=0.075
78,0.7322,538.82,acc=0.9779 loss=0.0749
79,0.7463,538.82,acc=0.9772 loss=0.0746
80,0.7355,538.82,acc=0.9768 loss=0.0778
81,0.7416,538.82,acc=0.9763 loss=0.077
82,0.7433,538.82,acc=0.978 loss=0.0725
83,0.7315,538.82,acc=0.9775 loss=0.0757
84,0.7404,538.82,acc=0.977 loss=0.0762
85,0.7407,538.82,acc=0.9784 loss=0.0736
86,0.7423,538.82,acc=0.9786 loss=0.0721
87,0.7353,538.95,acc=0.9789 loss=0.07
88,0.7355,538.95,acc=0.9776 loss=0.0757
89,0.7488,538.95,acc=0.9776 loss=0.0723
90,0.7398,538.95,acc=0.9772 loss=0.074
91,0.7418,538.95,acc=0.9795 loss=0.0718
92,0.7374,538.95,acc=0.9791 loss=0.0735
93,0.7379,538.95,acc=0.9761 loss=0.078
94,0.739,538.95,acc=0.9788 loss=0.0702
95,0.7372,538.95,acc=0.9785 loss=0.0713
96,0.743,538.95,acc=0.9774 loss=0.0735
97,0.7354,538.95,acc=0.9777 loss=0.0707
98,0.7302,538.95,acc=0.9782 loss=0.0714
99,0.745,538.95,acc=0.9774 loss=0.0744
100,0.7452,538.95,acc=0.9789 loss=0.0699
