round,duration_s,peak_rss_mb,notes
1,1.5281,582.66,acc=0.8769 loss=0.4383
2,0.8502,584.79,acc=0.8934 loss=0.3589
3,0.811,586.04,acc=0.9087 loss=0.3132
4,0.8242,586.54,acc=0.9183 loss=0.2846
5,0.8346,587.04,acc=0.9258 loss=0.2604
6,0.8259,587.04,acc=0.9294 loss=0.244
7,0.8158,587.04,acc=0.9343 loss=0.2289
8,0.8065,587.04,acc=0.9378 loss=0.2171
9,0.8049,587.04,acc=0.9368 loss=0.2082
10,0.8215,587.04,acc=0.9422 loss=0.195
11,0.8339,587.04,acc=0.9392 loss=0.1942
12,0.819,587.16,acc=0.9487 loss=0.1743
13,0.8097,587.16,acc=0.9499 loss=0.1726
14,0.8181,587.29,acc=0.9556 loss=0.1571
15,0.8001,587.54,acc=0.9481 loss=0.1627
16,0.8387,587.54,acc=0.9543 loss=0.1553
17,0.795,587.66,acc=0.9545 loss=0.1531
18,0.8157,587.66,acc=0.9586 loss=0.1393
19,0.8305,587.66,acc=0.9592 loss=0.1376
20,0.8224,587.66,acc=0.9628 loss=0.1328
21,0.8346,587.91,acc=0.9596 loss=0.1368
22,0.8331,587.91,acc=0.9644 loss=0.1293
23,0.8039,588.04,acc=0.963 loss=0.1281
24,0.7728,588.04,acc=0.9625 loss=0.1234
25,0.8062,588.04,acc=0.9664 loss=0.1147
26,0.8161,588.04,acc=0.9662 loss=0.115
27,0.8027,588.04,acc=0.9677 loss=0.1136
28,0.8336,588.04,acc=0.9683 loss=0.1103
29,0.8069,588.04,acc=0.9683 loss=0.113
30,0.8514,588.04,acc=0.9645 loss=0.1186
31,0.8175,588.04,acc=0.9674 loss=0.1126
32,0.8014,588.04,acc=0.9707 loss=0.1002
33,0.8225,588.04,acc=0.9701 loss=0.0985
34,0.8292,588.04,acc=0.9709 loss=0.1009
35,0.8206,588.79,acc=0.9706 loss=0.0998
36,0.8125,588.79,acc=0.9689 loss=0.102
37,0.8196,588.79,acc=0.9697 loss=0.0975
38,0.8422,588.79,acc=0.9717 loss=0.0943
39,0.7835,588.79,acc=0.9725 loss=0.0914
40,0.8031,588.79,acc=0.9727 loss=0.093
41,0.8282,588.91,acc=0.9724 loss=0.0964
42,0.8126,588.91,acc=0.9721 loss=0.093
43,0.8101,588.91,acc=0.9737 loss=0.0874
44,0.8043,588.91,acc=0.9731 loss=0.0878
45,0.8114,588.91,acc=0.974 loss=0.0874
46,0.8126,588.91,acc=0.9718 loss=0.0918
47,0.8172,588.91,acc=0.9735 loss=0.0883
48,0.8257,588.91,acc=0.9728 loss=0.0926
49,0.8232,588.91,acc=0.9736 loss=0.0894
50,0.8109,588.91,acc=0.9745 loss=0.087
51,0.7978,588.91,acc=0.9741 loss=0.0845
52,0.8375,588.91,acc=0.9748 loss=0.0841
53,0.828,588.91,acc=0.9751 loss=0.0824
54,0.8049,588.91,acc=0.975 loss=0.083
55,0.809,588.91,acc=0.975 loss=0.0819
56,0.8325,588.91,acc=0.9754 loss=0.0832
57,0.7988,588.91,acc=0.976 loss=0.0819
58,0.8151,588.91,acc=0.9764 loss=0.0807
59,0.8262,588.91,acc=0.9757 loss=0.084
60,0.8069,588.91,acc=0.9757 loss=0.0794
61,0.8156,588.91,acc=0.9754 loss=0.0786
62,0.8084,588.91,acc=0.9775 loss=0.0787
63,0.8531,588.91,acc=0.9762 loss=0.0788
64,0.812,588.91,acc=0.9757 loss=0.0806
65,0.8206,588.91,acc=0.9757 loss=0.0805
66,0.7974,588.91,acc=0.9761 loss=0.0791
67,0.7897,588.91,acc=0.9759 loss=0.0819
68,0.8112,588.91,acc=0.9754 loss=0.0795
69,0.8195,588.91,acc=0.9749 loss=0.0844
70,0.7977,588.91,acc=0.9769 loss=0.0759
71,0.8215,588.91,acc=0.9768 loss=0.0795
72,0.8357,589.04,acc=0.9743 loss=0.0816
73,0.8377,589.16,acc=0.9779 loss=0.0731
74,0.823,589.16,acc=0.9777 loss=0.0745
75,0.8031,589.16,acc=0.9767 loss=0.0765
76,0.8161,589.16,acc=0.9782 loss=0.0718
77,0.8125,589.16,acc=0.9778 loss=0.0749
78,0.8112,589.16,acc=0.9778 loss=0.0749
79,0.7902,589.16,acc=0.9767 loss=0.0746
80,0.8064,589.16,acc=0.9768 loss=0.0778
81,0.825,589.16,acc=0.9764 loss=0.0768
82,0.8244,589.16,acc=0.9778 loss=0.0725
83,0.85,589.16,acc=0.9775 loss=0.0758
84,0.8193,589.16,acc=0.9768 loss=0.0761
85,0.8012,589.16,acc=0.9785 loss=0.0731
86,0.8268,589.16,acc=0.9783 loss=0.0719
87,0.82,589.16,acc=0.979 loss=0.07
88,0.8157,589.16,acc=0.9776 loss=0.0756
89,0.8018,589.16,acc=0.9776 loss=0.0723
90,0.8005,589.16,acc=0.9772 loss=0.074
91,0.8267,589.16,acc=0.9797 loss=0.0717
92,0.8187,589.16,acc=0.9791 loss=0.0734
93,0.8246,589.16,acc=0.9761 loss=0.0778
94,0.7954,589.16,acc=0.979 loss=0.0701
95,0.8015,589.16,acc=0.978 loss=0.0715
96,0.8045,589.16,acc=0.9774 loss=0.0738
97,0.812,589.16,acc=0.9774 loss=0.071
98,0.7925,589.16,acc=0.9782 loss=0.0714
99,0.8513,589.16,acc=0.9772 loss=0.0745
100,0.7995,589.16,acc=0.9786 loss=0.07
