round,duration_s,peak_rss_mb,notes
1,1.7725,584.72,acc=0.8805 loss=0.4337
2,0.8216,586.34,acc=0.8952 loss=0.3538
3,0.8585,587.72,acc=0.9118 loss=0.3115
4,0.8151,588.59,acc=0.9134 loss=0.2976
5,0.8236,588.72,acc=0.9252 loss=0.2715
6,0.7975,588.72,acc=0.9273 loss=0.2537
7,0.8173,588.72,acc=0.9289 loss=0.2448
8,0.8123,588.84,acc=0.9361 loss=0.2247
9,0.7928,588.84,acc=0.9414 loss=0.2081
10,0.8479,588.84,acc=0.9384 loss=0.205
11,0.8418,588.84,acc=0.9422 loss=0.1958
12,0.8376,588.84,acc=0.9471 loss=0.1866
13,0.8164,588.84,acc=0.951 loss=0.1738
14,0.8009,588.84,acc=0.9437 loss=0.1901
15,0.8177,588.84,acc=0.9539 loss=0.1641
16,0.8073,588.97,acc=0.9537 loss=0.1645
17,0.8236,588.97,acc=0.9541 loss=0.1601
18,0.8211,588.97,acc=0.9559 loss=0.1498
19,0.8333,588.97,acc=0.9593 loss=0.1425
20,0.8193,588.97,acc=0.9613 loss=0.1378
21,0.8559,588.97,acc=0.9621 loss=0.1354
22,0.8524,589.09,acc=0.9627 loss=0.1339
23,0.8575,589.22,acc=0.9645 loss=0.1275
24,0.8106,589.22,acc=0.9654 loss=0.1214
25,0.8536,589.22,acc=0.9669 loss=0.1171
26,0.8131,589.22,acc=0.9653 loss=0.1229
27,0.8301,589.22,acc=0.9627 loss=0.1231
28,0.806,589.22,acc=0.9674 loss=0.1147
29,0.7987,589.22,acc=0.9669 loss=0.1134
30,0.8695,590.09,acc=0.9683 loss=0.1106
31,0.8656,590.09,acc=0.9664 loss=0.1145
32,0.7858,590.09,acc=0.9705 loss=0.1072
33,0.8295,590.09,acc=0.9678 loss=0.1095
34,0.8083,590.09,acc=0.9678 loss=0.1114
35,0.8121,591.09,acc=0.971 loss=0.1006
36,0.8388,591.09,acc=0.9706 loss=0.1037
37,0.8099,591.09,acc=0.9711 loss=0.0991
38,0.8322,591.09,acc=0.97 loss=0.1008
39,0.8155,591.09,acc=0.9707 loss=0.0992
40,0.8378,591.09,acc=0.9701 loss=0.101
41,0.8468,591.09,acc=0.9723 loss=0.0942
42,0.819,591.09,acc=0.9713 loss=0.0959
43,0.8204,591.09,acc=0.9709 loss=0.102
44,0.8386,591.09,acc=0.9733 loss=0.093
45,0.8145,591.09,acc=0.9734 loss=0.0903
46,0.7948,591.09,acc=0.9718 loss=0.0952
47,0.8354,591.09,acc=0.9736 loss=0.0898
48,0.8062,591.09,acc=0.9722 loss=0.097
49,0.8026,591.09,acc=0.9727 loss=0.0921
50,0.7945,591.09,acc=0.9756 loss=0.0847
51,0.8364,591.09,acc=0.9719 loss=0.092
52,0.8369,591.09,acc=0.9744 loss=0.0936
53,0.7814,591.09,acc=0.9732 loss=0.0911
54,0.8086,591.09,acc=0.9743 loss=0.0896
55,0.8199,591.09,acc=0.9748 loss=0.0862
56,0.7829,591.09,acc=0.9761 loss=0.084
57,0.8017,591.09,acc=0.9746 loss=0.0852
58,0.8161,591.09,acc=0.9745 loss=0.0866
59,0.8178,591.09,acc=0.9743 loss=0.0856
60,0.8258,591.09,acc=0.9752 loss=0.0867
61,0.7903,591.09,acc=0.9735 loss=0.0907
62,0.851,591.09,acc=0.9763 loss=0.0816
63,0.8009,591.09,acc=0.9737 loss=0.0874
64,0.7961,591.09,acc=0.9766 loss=0.079
65,0.8103,591.09,acc=0.9756 loss=0.0883
66,0.8406,591.09,acc=0.9759 loss=0.0816
67,0.8335,591.34,acc=0.9767 loss=0.0798
68,0.8098,591.34,acc=0.9759 loss=0.0837
69,0.7812,591.34,acc=0.9749 loss=0.0824
70,0.8269,591.34,acc=0.9766 loss=0.0794
71,0.8163,591.34,acc=0.9776 loss=0.0795
72,0.8245,591.34,acc=0.9756 loss=0.0831
73,0.805,591.34,acc=0.9765 loss=0.0798
74,0.8335,591.34,acc=0.9772 loss=0.0769
75,0.8203,591.34,acc=0.9774 loss=0.077
76,0.7989,591.34,acc=0.9765 loss=0.0811
77,0.8548,591.34,acc=0.9775 loss=0.0752
78,0.8213,591.34,acc=0.9762 loss=0.0825
79,0.8378,591.34,acc=0.9776 loss=0.0788
80,0.8031,591.34,acc=0.9769 loss=0.0775
81,0.8361,591.34,acc=0.9779 loss=0.0743
82,0.8315,591.34,acc=0.9783 loss=0.0765
83,0.8409,591.34,acc=0.9766 loss=0.0782
84,0.8003,591.34,acc=0.9773 loss=0.0777
85,0.8126,591.34,acc=0.9786 loss=0.0747
86,0.861,591.34,acc=0.9787 loss=0.0796
87,0.8533,591.34,acc=0.978 loss=0.0757
88,0.8871,591.34,acc=0.9787 loss=0.0761
89,0.8025,591.34,acc=0.978 loss=0.0759
90,0.8214,591.34,acc=0.9781 loss=0.0748
91,0.8372,591.34,acc=0.9759 loss=0.0802
92,0.8257,591.34,acc=0.9785 loss=0.0746
93,0.8286,591.34,acc=0.9756 loss=0.0808
94,0.8418,591.34,acc=0.9786 loss=0.0737
95,0.7934,591.34,acc=0.9781 loss=0.075
96,0.8122,591.34,acc=0.9772 loss=0.0746
97,0.852,591.34,acc=0.9785 loss=0.0765
98,0.7996,591.34,acc=0.9776 loss=0.0763
99,0.8275,591.34,acc=0.9789 loss=0.0724
100,0.8276,591.34,acc=0.9784 loss=0.0726
