round,duration_s,peak_rss_mb,notes
1,1.4231,584.59,acc=0.8855 loss=0.4295
2,0.8063,586.46,acc=0.8946 loss=0.3808
3,0.7932,587.21,acc=0.9073 loss=0.323
4,0.7952,587.46,acc=0.9209 loss=0.2853
5,0.8486,587.84,acc=0.919 loss=0.2859
6,0.821,588.09,acc=0.9275 loss=0.2452
7,0.8094,588.09,acc=0.9273 loss=0.2424
8,0.8087,588.09,acc=0.9316 loss=0.2341
9,0.8132,588.21,acc=0.9389 loss=0.2089
10,0.8178,588.59,acc=0.9414 loss=0.2071
11,0.8069,588.71,acc=0.9448 loss=0.1934
12,0.7817,588.71,acc=0.9457 loss=0.1831
13,0.8013,588.71,acc=0.9503 loss=0.1716
14,0.7947,588.71,acc=0.9531 loss=0.1655
15,0.8185,588.71,acc=0.9564 loss=0.1574
16,0.7851,588.71,acc=0.9551 loss=0.1575
17,0.7973,588.71,acc=0.9531 loss=0.1558
18,0.7939,588.71,acc=0.9593 loss=0.1429
19,0.8091,588.71,acc=0.9591 loss=0.1392
20,0.7828,588.96,acc=0.9606 loss=0.1329
21,0.7971,588.96,acc=0.9606 loss=0.1362
22,0.8097,588.96,acc=0.9597 loss=0.138
23,0.8409,588.96,acc=0.9601 loss=0.1342
24,0.8176,588.96,acc=0.9631 loss=0.1277
25,0.7851,589.09,acc=0.9652 loss=0.1194
26,0.8134,589.09,acc=0.9646 loss=0.123
27,0.7813,589.09,acc=0.9653 loss=0.1228
28,0.8038,589.09,acc=0.9683 loss=0.1109
29,0.8228,589.09,acc=0.9659 loss=0.1202
30,0.8072,589.09,acc=0.9677 loss=0.1082
31,0.7828,589.21,acc=0.9655 loss=0.112
32,0.81,589.21,acc=0.9691 loss=0.1042
33,0.8029,589.21,acc=0.9687 loss=0.1072
34,0.825,589.21,acc=0.9682 loss=0.1034
35,0.805,589.21,acc=0.9701 loss=0.1008
36,0.8067,589.21,acc=0.9701 loss=0.1028
37,0.794,589.21,acc=0.9695 loss=0.1035
38,0.7944,589.21,acc=0.9709 loss=0.1001
39,0.8139,589.21,acc=0.9723 loss=0.0968
40,0.8122,589.21,acc=0.9708 loss=0.0993
41,0.8071,589.21,acc=0.9686 loss=0.1071
42,0.7904,589.21,acc=0.9728 loss=0.095
43,0.8121,589.21,acc=0.9733 loss=0.094
44,0.8023,589.21,acc=0.9738 loss=0.0885
45,0.7883,589.21,acc=0.9709 loss=0.0957
46,0.7941,589.21,acc=0.9716 loss=0.0954
47,0.8148,589.21,acc=0.9745 loss=0.0879
48,0.7896,589.21,acc=0.9733 loss=0.0911
49,0.8128,589.21,acc=0.9734 loss=0.0857
50,0.7917,589.21,acc=0.9737 loss=0.0865
51,0.791,589.21,acc=0.9737 loss=0.0875
52,0.7921,589.21,acc=0.974 loss=0.0855
53,0.7985,589.21,acc=0.9731 loss=0.0881
54,0.8187,589.21,acc=0.9748 loss=0.086
55,0.8054,589.21,acc=0.9723 loss=0.0934
56,0.8405,589.21,acc=0.974 loss=0.0863
57,0.8112,589.21,acc=0.9752 loss=0.0849
58,0.8297,589.21,acc=0.975 loss=0.0832
59,0.7906,589.21,acc=0.9748 loss=0.0837
60,0.7842,589.21,acc=0.9756 loss=0.0803
61,0.8209,589.34,acc=0.9747 loss=0.0808
62,0.8118,589.34,acc=0.9763 loss=0.0803
63,0.8131,589.34,acc=0.9762 loss=0.0837
64,0.8257,589.34,acc=0.9747 loss=0.0838
65,0.8094,589.34,acc=0.9745 loss=0.0846
66,0.827,589.34,acc=0.9761 loss=0.0781
67,0.788,589.34,acc=0.9753 loss=0.0816
68,0.8268,589.34,acc=0.9768 loss=0.0798
69,0.8085,589.46,acc=0.9765 loss=0.079
70,0.8149,589.84,acc=0.9753 loss=0.0833
71,0.8239,589.84,acc=0.9768 loss=0.0787
72,0.8016,589.84,acc=0.9744 loss=0.0842
73,0.7891,589.84,acc=0.9772 loss=0.0751
74,0.7887,589.84,acc=0.9759 loss=0.0813
75,0.7985,589.84,acc=0.9762 loss=0.0786
76,0.7998,589.96,acc=0.9779 loss=0.073
77,0.806,589.96,acc=0.9777 loss=0.0751
78,0.7929,589.96,acc=0.9767 loss=0.0776
79,0.7922,589.96,acc=0.9748 loss=0.0834
80,0.8482,589.96,acc=0.9768 loss=0.0782
81,0.8273,589.96,acc=0.9771 loss=0.0774
82,0.7957,589.96,acc=0.9767 loss=0.0778
83,0.7963,589.96,acc=0.9779 loss=0.0731
84,0.7914,589.96,acc=0.9776 loss=0.0723
85,0.8036,589.96,acc=0.9769 loss=0.0738
86,0.8073,590.34,acc=0.9777 loss=0.0739
87,0.8089,590.34,acc=0.9768 loss=0.0756
88,0.8153,590.34,acc=0.978 loss=0.0774
89,0.8045,590.34,acc=0.9781 loss=0.0749
90,0.7925,590.34,acc=0.978 loss=0.0731
91,0.8281,590.34,acc=0.9774 loss=0.0742
92,0.7989,590.71,acc=0.9784 loss=0.0743
93,0.8012,590.71,acc=0.9763 loss=0.0802
94,0.7864,590.71,acc=0.9792 loss=0.073
95,0.8189,590.71,acc=0.9774 loss=0.0796
96,0.7952,590.71,acc=0.979 loss=0.0724
97,0.8091,590.71,acc=0.9776 loss=0.0714
98,0.7938,590.71,acc=0.9775 loss=0.0754
99,0.7966,590.71,acc=0.9789 loss=0.0703
100,0.7835,590.71,acc=0.9782 loss=0.0746
