round,duration_s,peak_rss_mb,notes
1,1.3768,582.85,acc=0.8687 loss=0.4531
2,0.8005,584.73,acc=0.8981 loss=0.3488
3,0.7915,586.48,acc=0.9085 loss=0.3114
4,0.8022,586.98,acc=0.9168 loss=0.2882
5,0.8064,587.1,acc=0.9189 loss=0.2772
6,0.8245,587.1,acc=0.9197 loss=0.2632
7,0.822,587.1,acc=0.9283 loss=0.24
8,0.8344,587.1,acc=0.936 loss=0.2243
9,0.8098,587.23,acc=0.9382 loss=0.2097
10,0.8115,587.23,acc=0.9441 loss=0.1991
11,0.7847,587.23,acc=0.9404 loss=0.1999
12,0.7924,587.23,acc=0.941 loss=0.1967
13,0.8133,587.35,acc=0.9483 loss=0.1792
14,0.8063,587.35,acc=0.9459 loss=0.1774
15,0.7924,587.35,acc=0.9527 loss=0.1675
16,0.8222,587.73,acc=0.9555 loss=0.151
17,0.7969,587.73,acc=0.9558 loss=0.1502
18,0.8262,587.85,acc=0.9588 loss=0.1469
19,0.8072,587.85,acc=0.9597 loss=0.1448
20,0.817,587.85,acc=0.9564 loss=0.147
21,0.797,587.85,acc=0.9613 loss=0.138
22,0.7894,587.85,acc=0.9629 loss=0.1294
23,0.8196,587.85,acc=0.9628 loss=0.1276
24,0.8046,588.6,acc=0.9627 loss=0.1263
25,0.8088,588.6,acc=0.9664 loss=0.1171
26,0.813,588.6,acc=0.9634 loss=0.1272
27,0.8032,588.6,acc=0.9656 loss=0.1218
28,0.8549,588.6,acc=0.9652 loss=0.1155
29,0.8069,588.6,acc=0.9684 loss=0.1096
30,0.8042,588.6,acc=0.968 loss=0.1075
31,0.7942,588.6,acc=0.9669 loss=0.1095
32,0.8075,588.6,acc=0.9678 loss=0.1056
33,0.7848,588.73,acc=0.9671 loss=0.1092
34,0.8055,588.73,acc=0.9684 loss=0.1013
35,0.8298,588.73,acc=0.9688 loss=0.1022
36,0.8087,588.73,acc=0.9709 loss=0.0972
37,0.8118,588.73,acc=0.9704 loss=0.1005
38,0.8045,588.73,acc=0.9698 loss=0.0968
39,0.8093,588.73,acc=0.9715 loss=0.0954
40,0.7964,588.73,acc=0.9716 loss=0.0934
41,0.7894,588.73,acc=0.9717 loss=0.0948
42,0.7962,588.73,acc=0.9717 loss=0.0927
43,0.8031,588.73,acc=0.9703 loss=0.0984
44,0.8291,588.73,acc=0.9704 loss=0.095
45,0.8253,588.73,acc=0.9725 loss=0.0882
46,0.8124,588.73,acc=0.972 loss=0.0932
47,0.8199,588.73,acc=0.9719 loss=0.0926
48,0.7862,588.73,acc=0.9658 loss=0.1086
49,0.8158,588.73,acc=0.9733 loss=0.0894
50,0.8119,588.85,acc=0.9732 loss=0.0886
51,0.8136,588.85,acc=0.9711 loss=0.094
52,0.8173,588.85,acc=0.971 loss=0.0929
53,0.7996,588.85,acc=0.9741 loss=0.0855
54,0.8058,588.85,acc=0.9747 loss=0.0829
55,0.8633,588.85,acc=0.9734 loss=0.0849
56,0.8292,588.85,acc=0.974 loss=0.0857
57,0.828,588.85,acc=0.9745 loss=0.0838
58,0.7989,588.85,acc=0.9752 loss=0.0823
59,0.8039,588.85,acc=0.975 loss=0.0817
60,0.8181,588.85,acc=0.9758 loss=0.0856
61,0.7932,588.85,acc=0.9717 loss=0.0919
62,0.7882,588.85,acc=0.9757 loss=0.0817
63,0.8035,588.85,acc=0.9768 loss=0.0804
64,0.8036,588.85,acc=0.9756 loss=0.0815
65,0.8033,588.85,acc=0.9754 loss=0.0816
66,0.8432,588.85,acc=0.9738 loss=0.0846
67,0.7815,588.85,acc=0.9766 loss=0.0771
68,0.8142,588.85,acc=0.9747 loss=0.0833
69,0.8195,588.85,acc=0.9755 loss=0.0785
70,0.812,588.85,acc=0.9762 loss=0.0808
71,0.7935,588.85,acc=0.9769 loss=0.0773
72,0.8192,588.85,acc=0.977 loss=0.0786
73,0.8156,588.85,acc=0.9762 loss=0.08
74,0.8119,588.85,acc=0.9761 loss=0.0787
75,0.7977,588.85,acc=0.9764 loss=0.0814
76,0.809,588.85,acc=0.9752 loss=0.0822
77,0.8193,588.85,acc=0.9761 loss=0.0794
78,0.8072,588.85,acc=0.9766 loss=0.0756
79,0.8088,588.85,acc=0.9766 loss=0.0773
80,0.8296,588.85,acc=0.9776 loss=0.0791
81,0.7965,588.85,acc=0.9763 loss=0.077
82,0.8154,588.85,acc=0.9784 loss=0.0733
83,0.8233,588.98,acc=0.9768 loss=0.0762
84,0.8683,588.98,acc=0.977 loss=0.0781
85,0.7861,588.98,acc=0.978 loss=0.0754
86,0.7944,588.98,acc=0.9769 loss=0.0732
87,0.8265,588.98,acc=0.9769 loss=0.0774
88,0.7886,588.98,acc=0.9778 loss=0.0756
89,0.8411,588.98,acc=0.9782 loss=0.0767
90,0.8324,588.98,acc=0.9771 loss=0.0732
91,0.8277,588.98,acc=0.9759 loss=0.0766
92,0.7924,588.98,acc=0.978 loss=0.0723
93,0.7944,588.98,acc=0.9775 loss=0.075
94,0.8361,588.98,acc=0.9785 loss=0.0733
95,0.8167,588.98,acc=0.9763 loss=0.0756
96,0.7961,588.98,acc=0.9748 loss=0.0782
97,0.7984,588.98,acc=0.9776 loss=0.0768
98,0.8092,589.1,acc=0.9756 loss=0.0785
99,0.8204,589.1,acc=0.9758 loss=0.0797
100,0.7915,589.1,acc=0.9764 loss=0.0765
