round,duration_s,peak_rss_mb,notes
1,1.3265,582.85,acc=0.8845 loss=0.4331
2,0.7731,585.6,acc=0.8984 loss=0.351
3,0.7731,586.1,acc=0.9067 loss=0.3308
4,0.8042,586.6,acc=0.9076 loss=0.314
5,0.7971,586.73,acc=0.9202 loss=0.2766
6,0.7751,587.1,acc=0.9275 loss=0.2504
7,0.7819,587.35,acc=0.9242 loss=0.2571
8,0.7802,587.35,acc=0.9357 loss=0.2256
9,0.784,587.35,acc=0.9398 loss=0.2162
10,0.7995,587.35,acc=0.9405 loss=0.1978
11,0.7995,587.35,acc=0.9434 loss=0.1937
12,0.7819,587.35,acc=0.9434 loss=0.1901
13,0.7901,587.35,acc=0.9452 loss=0.1906
14,0.7911,587.35,acc=0.9523 loss=0.1663
15,0.7749,587.35,acc=0.9546 loss=0.1595
16,0.7677,587.35,acc=0.9486 loss=0.1677
17,0.7688,587.35,acc=0.9519 loss=0.158
18,0.7726,587.35,acc=0.9595 loss=0.1409
19,0.787,587.48,acc=0.9587 loss=0.1419
20,0.772,588.23,acc=0.9594 loss=0.1366
21,0.7815,588.23,acc=0.9604 loss=0.1352
22,0.7781,588.85,acc=0.9619 loss=0.1366
23,0.7754,588.85,acc=0.9634 loss=0.1281
24,0.7736,588.85,acc=0.965 loss=0.1199
25,0.7741,588.85,acc=0.9637 loss=0.1252
26,0.7813,588.85,acc=0.9615 loss=0.1284
27,0.7768,588.85,acc=0.9661 loss=0.1129
28,0.8016,588.85,acc=0.9628 loss=0.1189
29,0.7733,588.85,acc=0.9652 loss=0.1152
30,0.7735,588.85,acc=0.9658 loss=0.1181
31,0.8023,588.85,acc=0.9635 loss=0.1186
32,0.7802,588.85,acc=0.9669 loss=0.1099
33,0.7795,588.85,acc=0.9694 loss=0.1018
34,0.8173,588.85,acc=0.967 loss=0.1096
35,0.7996,588.85,acc=0.9682 loss=0.1111
36,0.7788,588.85,acc=0.9702 loss=0.0989
37,0.7894,588.85,acc=0.9689 loss=0.1041
38,0.7829,588.85,acc=0.967 loss=0.1068
39,0.7894,588.85,acc=0.9694 loss=0.0993
40,0.7976,588.85,acc=0.9697 loss=0.0975
41,0.7956,588.85,acc=0.9705 loss=0.0996
42,0.7824,588.85,acc=0.9731 loss=0.092
43,0.7681,588.85,acc=0.9718 loss=0.096
44,0.7788,588.85,acc=0.9722 loss=0.0958
45,0.7826,588.85,acc=0.9711 loss=0.0958
46,0.7793,588.98,acc=0.9713 loss=0.0938
47,0.7872,588.98,acc=0.9737 loss=0.089
48,0.8084,588.98,acc=0.9753 loss=0.0862
49,0.7892,588.98,acc=0.9732 loss=0.0893
50,0.78,588.98,acc=0.9725 loss=0.0955
51,0.7996,588.98,acc=0.9711 loss=0.0955
52,0.782,589.1,acc=0.9748 loss=0.0835
53,0.777,589.1,acc=0.9742 loss=0.0875
54,0.7852,589.1,acc=0.9766 loss=0.083
55,0.7889,589.1,acc=0.9754 loss=0.0828
56,0.7756,589.1,acc=0.9755 loss=0.0847
57,0.7724,589.1,acc=0.9749 loss=0.0832
58,0.7708,589.1,acc=0.9765 loss=0.079
59,0.7721,589.1,acc=0.9753 loss=0.0826
60,0.781,589.1,acc=0.9752 loss=0.0818
61,0.7936,589.1,acc=0.9755 loss=0.0833
62,0.768,589.1,acc=0.9762 loss=0.0824
63,0.7865,589.1,acc=0.9761 loss=0.0806
64,0.7861,589.1,acc=0.9752 loss=0.0788
65,0.7779,589.1,acc=0.9767 loss=0.0793
66,0.7929,589.1,acc=0.9759 loss=0.0805
67,0.7838,589.1,acc=0.9756 loss=0.0792
68,0.7875,589.1,acc=0.9763 loss=0.0775
69,0.7804,589.1,acc=0.9745 loss=0.0826
70,0.7716,589.1,acc=0.9757 loss=0.0787
71,0.7752,589.1,acc=0.977 loss=0.0788
72,0.7904,589.1,acc=0.9749 loss=0.0822
73,0.7765,589.1,acc=0.9761 loss=0.0785
74,0.7791,589.1,acc=0.9763 loss=0.0753
75,0.7762,589.1,acc=0.977 loss=0.0762
76,0.7914,589.1,acc=0.9776 loss=0.0759
77,0.7941,589.1,acc=0.9784 loss=0.0738
78,0.7915,589.1,acc=0.979 loss=0.0744
79,0.7837,589.1,acc=0.9756 loss=0.0781
80,0.7803,589.1,acc=0.9773 loss=0.0742
81,0.7951,589.1,acc=0.9752 loss=0.0804
82,0.7611,589.1,acc=0.9756 loss=0.0788
83,0.7743,589.1,acc=0.9775 loss=0.0751
84,0.7792,589.1,acc=0.9773 loss=0.0755
85,0.773,589.1,acc=0.9763 loss=0.0782
86,0.7748,589.1,acc=0.9777 loss=0.0758
87,0.7742,589.1,acc=0.9791 loss=0.0741
88,0.8104,589.1,acc=0.9786 loss=0.0712
89,0.7939,589.1,acc=0.9766 loss=0.0773
90,0.779,589.1,acc=0.9757 loss=0.078
91,0.7866,589.1,acc=0.9784 loss=0.0715
92,0.7849,589.1,acc=0.9774 loss=0.0751
93,0.7809,589.1,acc=0.9786 loss=0.0727
94,0.786,589.1,acc=0.9789 loss=0.0719
95,0.7736,589.1,acc=0.978 loss=0.0724
96,0.7843,589.1,acc=0.9776 loss=0.0717
97,0.8004,589.1,acc=0.9761 loss=0.0758
98,0.7654,589.1,acc=0.9778 loss=0.0715
99,0.7701,589.1,acc=0.977 loss=0.0759
100,0.7801,589.1,acc=0.9768 loss=0.0742
