round,duration_s,peak_rss_mb,notes
1,0.8898,584.54,acc=0.8808 loss=0.4409
2,0.8059,586.79,acc=0.8843 loss=0.3985
3,0.7965,587.79,acc=0.9088 loss=0.3214
4,0.8082,588.16,acc=0.9137 loss=0.2955
5,0.8179,588.16,acc=0.9249 loss=0.269
6,0.7878,588.29,acc=0.9306 loss=0.2485
7,0.8139,588.29,acc=0.933 loss=0.2384
8,0.8212,588.29,acc=0.9328 loss=0.2305
9,0.8033,588.29,acc=0.9384 loss=0.2153
10,0.7821,588.29,acc=0.9441 loss=0.1936
11,0.7801,588.29,acc=0.9438 loss=0.1922
12,0.7726,588.29,acc=0.9429 loss=0.2019
13,0.7871,588.29,acc=0.9506 loss=0.1768
14,0.7873,588.29,acc=0.9519 loss=0.1688
15,0.7778,588.41,acc=0.9551 loss=0.1621
16,0.8142,588.41,acc=0.9548 loss=0.1568
17,0.8123,588.54,acc=0.9524 loss=0.1583
18,0.8382,588.54,acc=0.9557 loss=0.1507
19,0.792,588.54,acc=0.9599 loss=0.1411
20,0.8057,588.54,acc=0.9564 loss=0.1511
21,0.796,588.54,acc=0.9609 loss=0.1369
22,0.8274,588.54,acc=0.9619 loss=0.1326
23,0.7951,588.54,acc=0.9625 loss=0.1283
24,0.8177,588.54,acc=0.965 loss=0.1216
25,0.8432,588.54,acc=0.9651 loss=0.1236
26,0.7929,588.79,acc=0.9667 loss=0.1196
27,0.8002,588.79,acc=0.9631 loss=0.1208
28,0.807,588.79,acc=0.966 loss=0.1177
29,0.8285,588.79,acc=0.9691 loss=0.1082
30,0.7827,588.79,acc=0.9619 loss=0.1283
31,0.7922,588.91,acc=0.9696 loss=0.1069
32,0.7974,588.91,acc=0.9702 loss=0.1069
33,0.7938,588.91,acc=0.9658 loss=0.1162
34,0.8453,588.91,acc=0.9698 loss=0.1045
35,0.8482,588.91,acc=0.9694 loss=0.1059
36,0.8082,588.91,acc=0.9714 loss=0.0996
37,0.7732,588.91,acc=0.9707 loss=0.098
38,0.8052,588.91,acc=0.9709 loss=0.1008
39,0.8046,588.91,acc=0.9698 loss=0.1038
40,0.8021,588.91,acc=0.9726 loss=0.0938
41,0.8193,588.91,acc=0.9734 loss=0.0922
42,0.7854,588.91,acc=0.9729 loss=0.0955
43,0.8273,588.91,acc=0.9728 loss=0.0945
44,0.8281,588.91,acc=0.9734 loss=0.0919
45,0.8297,588.91,acc=0.9734 loss=0.0923
46,0.788,588.91,acc=0.9743 loss=0.0867
47,0.796,589.04,acc=0.9757 loss=0.0874
48,0.793,589.04,acc=0.9744 loss=0.09
49,0.8031,589.04,acc=0.9745 loss=0.0876
50,0.8035,589.04,acc=0.974 loss=0.0873
51,0.7811,589.04,acc=0.9759 loss=0.0851
52,0.8042,589.04,acc=0.9731 loss=0.0885
53,0.7812,589.04,acc=0.9748 loss=0.084
54,0.7971,589.04,acc=0.9749 loss=0.081
55,0.7917,589.04,acc=0.9753 loss=0.0836
56,0.8019,589.04,acc=0.9728 loss=0.0896
57,0.7931,589.04,acc=0.9745 loss=0.0842
58,0.7831,589.04,acc=0.9732 loss=0.091
59,0.8162,589.04,acc=0.9759 loss=0.0827
60,0.8013,589.04,acc=0.9737 loss=0.0905
61,0.7981,589.04,acc=0.9759 loss=0.0825
62,0.8285,589.04,acc=0.9778 loss=0.0784
63,0.8049,589.04,acc=0.9763 loss=0.0808
64,0.8078,589.04,acc=0.9753 loss=0.0828
65,0.8391,589.04,acc=0.9765 loss=0.0809
66,0.8162,589.04,acc=0.9762 loss=0.0817
67,0.8133,589.04,acc=0.9771 loss=0.0786
68,0.8052,589.04,acc=0.9753 loss=0.0809
69,0.8133,589.04,acc=0.9785 loss=0.0743
70,0.832,589.04,acc=0.9755 loss=0.0826
71,0.8184,589.04,acc=0.9755 loss=0.0832
72,0.826,589.04,acc=0.9766 loss=0.0796
73,0.7901,589.04,acc=0.9767 loss=0.0806
74,0.7867,589.16,acc=0.9739 loss=0.0845
75,0.8043,589.16,acc=0.9747 loss=0.0817
76,0.7826,589.16,acc=0.9759 loss=0.0839
77,0.8044,589.16,acc=0.9748 loss=0.0804
78,0.7925,589.16,acc=0.9774 loss=0.0779
79,0.8179,589.16,acc=0.9776 loss=0.0755
80,0.8464,589.16,acc=0.9776 loss=0.0746
81,0.802,589.16,acc=0.976 loss=0.0787
82,0.7939,589.16,acc=0.9773 loss=0.0766
83,0.7853,589.16,acc=0.9786 loss=0.0737
84,0.7887,589.16,acc=0.9787 loss=0.0724
85,0.815,589.16,acc=0.9772 loss=0.0749
86,0.8078,589.16,acc=0.9781 loss=0.0735
87,0.8114,589.16,acc=0.9772 loss=0.0742
88,0.7969,589.16,acc=0.9757 loss=0.079
89,0.7952,589.16,acc=0.9781 loss=0.0739
90,0.8039,589.16,acc=0.9762 loss=0.08
91,0.8415,589.16,acc=0.9772 loss=0.0749
92,0.7859,589.16,acc=0.9768 loss=0.0755
93,0.7916,589.16,acc=0.9773 loss=0.0735
94,0.8063,589.16,acc=0.9781 loss=0.0743
95,0.7953,589.16,acc=0.9768 loss=0.0792
96,0.8136,589.16,acc=0.9792 loss=0.0729
97,0.8075,589.16,acc=0.9768 loss=0.0781
98,0.7877,589.16,acc=0.9774 loss=0.0728
99,0.7997,589.16,acc=0.9786 loss=0.0728
100,0.7802,589.16,acc=0.9772 loss=0.0747
