round,duration_s,peak_rss_mb,notes
1,1.3312,583.02,acc=0.8817 loss=0.4352
2,0.8369,585.02,acc=0.8994 loss=0.3529
3,0.8551,585.52,acc=0.9133 loss=0.3068
4,0.835,586.02,acc=0.9152 loss=0.2978
5,0.8471,586.15,acc=0.9229 loss=0.2708
6,0.8444,586.9,acc=0.9244 loss=0.2672
7,0.8217,586.9,acc=0.9294 loss=0.243
8,0.8547,587.27,acc=0.9317 loss=0.2312
9,0.8578,587.27,acc=0.9403 loss=0.2082
10,0.8566,587.4,acc=0.9413 loss=0.2014
11,0.8369,587.4,acc=0.9465 loss=0.1862
12,0.8466,587.52,acc=0.9475 loss=0.1819
13,0.8665,587.52,acc=0.9481 loss=0.1751
14,0.8145,587.52,acc=0.9508 loss=0.1681
15,0.8323,587.52,acc=0.9536 loss=0.1651
16,0.8395,587.52,acc=0.9558 loss=0.1542
17,0.8327,587.52,acc=0.9548 loss=0.1503
18,0.8306,587.52,acc=0.9561 loss=0.1502
19,0.8412,587.52,acc=0.9567 loss=0.1459
20,0.8342,587.52,acc=0.9603 loss=0.1357
21,0.8514,587.52,acc=0.9602 loss=0.1357
22,0.8387,587.52,acc=0.9599 loss=0.1355
23,0.8682,587.52,acc=0.9619 loss=0.1288
24,0.837,587.52,acc=0.9601 loss=0.1335
25,0.84,587.52,acc=0.9664 loss=0.1202
26,0.8373,587.52,acc=0.9647 loss=0.1199
27,0.8355,587.52,acc=0.9675 loss=0.1172
28,0.8379,587.52,acc=0.9669 loss=0.113
29,0.8474,587.52,acc=0.9678 loss=0.1119
30,0.8489,587.52,acc=0.9673 loss=0.1149
31,0.8481,587.52,acc=0.9668 loss=0.1129
32,0.8309,587.52,acc=0.968 loss=0.1122
33,0.8259,587.52,acc=0.9711 loss=0.1027
34,0.8363,587.52,acc=0.9694 loss=0.1045
35,0.8216,587.52,acc=0.9699 loss=0.1053
36,0.8013,587.52,acc=0.9709 loss=0.0993
37,0.8469,587.52,acc=0.9715 loss=0.0978
38,0.832,587.52,acc=0.9722 loss=0.0975
39,0.8333,587.52,acc=0.9669 loss=0.1103
40,0.8315,587.65,acc=0.9687 loss=0.1041
41,0.8341,587.65,acc=0.9739 loss=0.0945
42,0.8381,587.65,acc=0.9712 loss=0.0961
43,0.824,587.65,acc=0.9731 loss=0.0909
44,0.8279,587.65,acc=0.9722 loss=0.0969
45,0.8406,587.65,acc=0.9696 loss=0.1031
46,0.8317,587.65,acc=0.9728 loss=0.093
47,0.841,587.65,acc=0.9726 loss=0.0931
48,0.843,587.65,acc=0.9736 loss=0.0911
49,0.8441,587.65,acc=0.9751 loss=0.0867
50,0.8512,587.65,acc=0.9734 loss=0.0888
51,0.8401,587.65,acc=0.9719 loss=0.0971
52,0.7996,587.65,acc=0.9759 loss=0.0822
53,0.832,587.65,acc=0.9744 loss=0.0877
54,0.8313,587.65,acc=0.9754 loss=0.0859
55,0.8824,587.65,acc=0.9738 loss=0.0883
56,0.8418,587.65,acc=0.9747 loss=0.0827
57,0.8425,587.77,acc=0.9747 loss=0.0842
58,0.8353,587.77,acc=0.9743 loss=0.0862
59,0.8374,587.77,acc=0.976 loss=0.0841
60,0.867,587.77,acc=0.9746 loss=0.0858
61,0.8555,587.77,acc=0.9715 loss=0.0971
62,0.8178,587.77,acc=0.9751 loss=0.0858
63,0.8661,587.77,acc=0.9755 loss=0.0854
64,0.871,587.77,acc=0.976 loss=0.0828
65,0.8213,587.77,acc=0.9767 loss=0.0811
66,0.8942,587.77,acc=0.9761 loss=0.0828
67,0.8664,587.77,acc=0.9773 loss=0.078
68,0.8058,587.77,acc=0.976 loss=0.0825
69,0.8043,587.77,acc=0.9769 loss=0.0816
70,0.8443,587.77,acc=0.9767 loss=0.0792
71,0.8269,587.77,acc=0.9769 loss=0.0795
72,0.8464,587.77,acc=0.9774 loss=0.0793
73,0.8192,587.77,acc=0.9752 loss=0.0832
74,0.8198,587.77,acc=0.9773 loss=0.0789
75,0.8132,587.77,acc=0.9773 loss=0.0781
76,0.8532,587.77,acc=0.9777 loss=0.0779
77,0.8939,587.77,acc=0.9768 loss=0.0793
78,0.8629,587.77,acc=0.9732 loss=0.0877
79,0.842,587.77,acc=0.9773 loss=0.0775
80,0.836,587.77,acc=0.9764 loss=0.0767
81,0.8383,587.77,acc=0.9763 loss=0.0806
82,0.8272,587.77,acc=0.9774 loss=0.0772
83,0.8558,587.77,acc=0.9776 loss=0.0742
84,0.873,587.77,acc=0.9775 loss=0.0776
85,0.8318,587.77,acc=0.9754 loss=0.0795
86,0.8314,587.77,acc=0.9781 loss=0.0748
87,0.8498,587.77,acc=0.9779 loss=0.0756
88,0.835,587.77,acc=0.9792 loss=0.0742
89,0.8407,587.77,acc=0.9779 loss=0.0747
90,0.8145,587.77,acc=0.9771 loss=0.0773
91,0.8217,587.77,acc=0.9772 loss=0.0743
92,0.855,587.77,acc=0.9782 loss=0.0735
93,0.8014,587.77,acc=0.9773 loss=0.0766
94,0.8537,587.77,acc=0.9774 loss=0.0747
95,0.8631,587.77,acc=0.9774 loss=0.0736
96,0.839,587.77,acc=0.9784 loss=0.0744
97,0.8362,587.77,acc=0.9779 loss=0.0741
98,0.8242,587.77,acc=0.9781 loss=0.0757
99,0.8666,587.77,acc=0.9794 loss=0.073
100,0.8256,587.77,acc=0.9769 loss=0.0761
