round,duration_s,peak_rss_mb,notes
1,1.4911,583.04,acc=0.8746 loss=0.4446
2,0.817,584.92,acc=0.9006 loss=0.351
3,0.8285,587.04,acc=0.9134 loss=0.3066
4,0.8217,587.67,acc=0.9144 loss=0.301
5,0.8091,587.67,acc=0.9209 loss=0.2715
6,0.8157,587.79,acc=0.9299 loss=0.2445
7,0.8098,587.79,acc=0.9279 loss=0.2473
8,0.8226,587.92,acc=0.9361 loss=0.2232
9,0.7891,587.92,acc=0.9377 loss=0.2108
10,0.8167,588.54,acc=0.9413 loss=0.2031
11,0.8037,588.54,acc=0.9423 loss=0.2003
12,0.8119,588.54,acc=0.9468 loss=0.1834
13,0.8077,588.54,acc=0.9507 loss=0.1697
14,0.8105,588.54,acc=0.9518 loss=0.1653
15,0.8146,588.54,acc=0.9515 loss=0.1696
16,0.8387,588.54,acc=0.9572 loss=0.1509
17,0.7894,588.54,acc=0.9539 loss=0.158
18,0.7913,588.54,acc=0.9539 loss=0.1574
19,0.8189,588.54,acc=0.9591 loss=0.1444
20,0.7959,588.54,acc=0.9592 loss=0.1389
21,0.7931,588.54,acc=0.9614 loss=0.1362
22,0.7877,588.54,acc=0.9628 loss=0.128
23,0.7949,588.54,acc=0.9619 loss=0.1253
24,0.8412,588.67,acc=0.9643 loss=0.1216
25,0.8281,588.67,acc=0.9643 loss=0.124
26,0.8311,588.67,acc=0.9667 loss=0.1159
27,0.8049,588.67,acc=0.9657 loss=0.116
28,0.8031,588.67,acc=0.967 loss=0.1129
29,0.8233,588.67,acc=0.9617 loss=0.1246
30,0.8312,588.79,acc=0.9657 loss=0.1165
31,0.8199,588.79,acc=0.9668 loss=0.111
32,0.7912,588.79,acc=0.969 loss=0.1075
33,0.8303,588.79,acc=0.9703 loss=0.0998
34,0.8195,588.79,acc=0.9712 loss=0.0994
35,0.8199,588.79,acc=0.9695 loss=0.1058
36,0.7886,588.79,acc=0.9708 loss=0.0999
37,0.785,588.79,acc=0.9716 loss=0.0985
38,0.8074,588.79,acc=0.9715 loss=0.097
39,0.8339,588.79,acc=0.9726 loss=0.0917
40,0.7988,588.79,acc=0.9723 loss=0.0932
41,0.8138,588.79,acc=0.9721 loss=0.0943
42,0.8014,588.79,acc=0.9707 loss=0.0977
43,0.8303,588.79,acc=0.9731 loss=0.0897
44,0.8214,588.79,acc=0.9741 loss=0.0883
45,0.8041,588.79,acc=0.9719 loss=0.0949
46,0.837,588.79,acc=0.9732 loss=0.0907
47,0.8282,588.92,acc=0.975 loss=0.088
48,0.8318,588.92,acc=0.9738 loss=0.0902
49,0.8376,588.92,acc=0.9737 loss=0.0892
50,0.7965,588.92,acc=0.9727 loss=0.09
51,0.79,588.92,acc=0.9728 loss=0.0925
52,0.8092,588.92,acc=0.9748 loss=0.0832
53,0.8128,588.92,acc=0.9729 loss=0.0921
54,0.8182,588.92,acc=0.9742 loss=0.0867
55,0.7936,588.92,acc=0.9747 loss=0.0848
56,0.813,589.04,acc=0.9755 loss=0.0842
57,0.817,589.04,acc=0.9758 loss=0.0812
58,0.809,589.04,acc=0.9745 loss=0.0856
59,0.8134,589.04,acc=0.9768 loss=0.0786
60,0.7966,589.04,acc=0.9743 loss=0.0838
61,0.82,589.04,acc=0.9758 loss=0.0814
62,0.7892,589.04,acc=0.9768 loss=0.0803
63,0.8119,589.04,acc=0.9773 loss=0.0769
64,0.8117,589.04,acc=0.9755 loss=0.0813
65,0.8085,589.04,acc=0.9763 loss=0.0815
66,0.8207,589.04,acc=0.9773 loss=0.0777
67,0.7986,589.04,acc=0.9765 loss=0.0793
68,0.8131,589.04,acc=0.9746 loss=0.0851
69,0.8168,589.04,acc=0.9762 loss=0.0787
70,0.8114,589.04,acc=0.9766 loss=0.0793
71,0.8082,589.04,acc=0.9772 loss=0.0783
72,0.8438,589.04,acc=0.9781 loss=0.0757
73,0.8176,589.04,acc=0.9764 loss=0.0792
74,0.8082,589.04,acc=0.9778 loss=0.0754
75,0.8233,589.04,acc=0.9771 loss=0.0757
76,0.8114,589.04,acc=0.9732 loss=0.0869
77,0.8216,589.04,acc=0.9763 loss=0.0797
78,0.8158,589.04,acc=0.9766 loss=0.0772
79,0.8118,589.04,acc=0.976 loss=0.0788
80,0.8158,589.04,acc=0.9765 loss=0.0796
81,0.806,589.04,acc=0.9774 loss=0.0737
82,0.8017,589.04,acc=0.9779 loss=0.0751
83,0.805,589.04,acc=0.9788 loss=0.074
84,0.789,589.04,acc=0.9781 loss=0.0746
85,0.8019,589.04,acc=0.9784 loss=0.0723
86,0.7993,589.04,acc=0.9771 loss=0.0773
87,0.8344,589.17,acc=0.9787 loss=0.0738
88,0.7915,589.17,acc=0.9779 loss=0.0766
89,0.8154,589.17,acc=0.9777 loss=0.0752
90,0.814,589.17,acc=0.9784 loss=0.0745
91,0.8477,589.17,acc=0.9788 loss=0.0741
92,0.838,589.17,acc=0.9784 loss=0.0727
93,0.8001,589.17,acc=0.9779 loss=0.0747
94,0.7945,589.17,acc=0.9773 loss=0.0752
95,0.8261,589.17,acc=0.9782 loss=0.0742
96,0.8107,589.17,acc=0.9776 loss=0.0756
97,0.8034,589.17,acc=0.9791 loss=0.073
98,0.7936,589.17,acc=0.9778 loss=0.0758
99,0.7989,589.17,acc=0.9787 loss=0.0731
100,0.8215,589.17,acc=0.9781 loss=0.0749
