round,duration_s,peak_rss_mb,notes
1,1.4448,582.82,acc=0.8637 loss=0.4571
2,0.8047,585.45,acc=0.9037 loss=0.3436
3,0.8478,586.57,acc=0.9044 loss=0.3259
4,0.7933,587.57,acc=0.9198 loss=0.2814
5,0.7989,587.57,acc=0.9107 loss=0.2887
6,0.8341,587.57,acc=0.9149 loss=0.2751
7,0.8253,587.57,acc=0.9288 loss=0.242
8,0.7862,587.57,acc=0.9338 loss=0.2286
9,0.8115,587.7,acc=0.941 loss=0.2049
10,0.8095,587.95,acc=0.9433 loss=0.1992
11,0.8363,587.95,acc=0.9381 loss=0.2025
12,0.8307,587.95,acc=0.9471 loss=0.1786
13,0.8199,587.95,acc=0.9482 loss=0.1716
14,0.7942,587.95,acc=0.9501 loss=0.172
15,0.8072,587.95,acc=0.9555 loss=0.1564
16,0.8014,587.95,acc=0.9535 loss=0.1592
17,0.8174,587.95,acc=0.9507 loss=0.1603
18,0.8199,587.95,acc=0.9566 loss=0.1523
19,0.818,587.95,acc=0.9601 loss=0.1388
20,0.8151,587.95,acc=0.9593 loss=0.1369
21,0.8308,587.95,acc=0.9638 loss=0.1263
22,0.7993,587.95,acc=0.9604 loss=0.1405
23,0.7915,588.07,acc=0.9633 loss=0.1315
24,0.8065,588.07,acc=0.9645 loss=0.1241
25,0.7957,588.2,acc=0.9648 loss=0.1209
26,0.8112,588.2,acc=0.9646 loss=0.1179
27,0.8055,588.2,acc=0.9674 loss=0.1134
28,0.8212,588.2,acc=0.9667 loss=0.111
29,0.7946,588.2,acc=0.9682 loss=0.1086
30,0.8145,588.32,acc=0.969 loss=0.104
31,0.8162,588.32,acc=0.9695 loss=0.1064
32,0.7891,588.32,acc=0.9697 loss=0.1044
33,0.8289,588.32,acc=0.9712 loss=0.1018
34,0.804,588.32,acc=0.9699 loss=0.1051
35,0.8508,588.32,acc=0.97 loss=0.1052
36,0.7947,588.32,acc=0.9719 loss=0.0938
37,0.8248,588.45,acc=0.972 loss=0.0966
38,0.798,588.45,acc=0.9717 loss=0.0963
39,0.805,588.45,acc=0.9712 loss=0.0987
40,0.8024,588.45,acc=0.9704 loss=0.0972
41,0.8177,588.45,acc=0.9732 loss=0.0959
42,0.8518,588.45,acc=0.9733 loss=0.0907
43,0.8039,588.45,acc=0.9741 loss=0.0905
44,0.8247,588.45,acc=0.9736 loss=0.0889
45,0.8072,588.45,acc=0.9727 loss=0.0926
46,0.8216,588.45,acc=0.9742 loss=0.0888
47,0.7762,588.45,acc=0.9741 loss=0.0898
48,0.7782,588.45,acc=0.9731 loss=0.0886
49,0.8177,588.45,acc=0.9745 loss=0.0854
50,0.806,588.45,acc=0.9742 loss=0.0911
51,0.8166,588.45,acc=0.9739 loss=0.0879
52,0.7941,588.45,acc=0.9755 loss=0.0853
53,0.782,588.45,acc=0.9754 loss=0.0872
54,0.7983,588.45,acc=0.9753 loss=0.0821
55,0.793,588.45,acc=0.9752 loss=0.0841
56,0.799,588.45,acc=0.9756 loss=0.0821
57,0.8284,588.45,acc=0.9762 loss=0.0798
58,0.7866,588.45,acc=0.9755 loss=0.0821
59,0.7872,588.45,acc=0.9735 loss=0.0872
60,0.8004,588.45,acc=0.9738 loss=0.0856
61,0.8488,588.45,acc=0.9749 loss=0.0827
62,0.8184,588.45,acc=0.9767 loss=0.0794
63,0.8224,588.45,acc=0.9761 loss=0.0764
64,0.8213,588.45,acc=0.9762 loss=0.0811
65,0.8472,588.45,acc=0.9766 loss=0.0784
66,0.8182,588.45,acc=0.9758 loss=0.0801
67,0.8264,588.45,acc=0.975 loss=0.0838
68,0.8409,588.45,acc=0.9749 loss=0.082
69,0.806,588.45,acc=0.9758 loss=0.0827
70,0.7938,588.45,acc=0.9751 loss=0.0833
71,0.8184,588.45,acc=0.9743 loss=0.0857
72,0.8083,588.45,acc=0.9764 loss=0.0785
73,0.8437,588.45,acc=0.9758 loss=0.077
74,0.8203,588.45,acc=0.976 loss=0.0758
75,0.7997,588.45,acc=0.9772 loss=0.0754
76,0.8346,588.45,acc=0.9744 loss=0.0851
77,0.8511,588.45,acc=0.9765 loss=0.0762
78,0.8247,588.45,acc=0.9767 loss=0.0749
79,0.8116,588.45,acc=0.977 loss=0.0745
80,0.8109,588.45,acc=0.9718 loss=0.0895
81,0.8205,588.45,acc=0.9765 loss=0.0767
82,0.8087,588.45,acc=0.9779 loss=0.0744
83,0.8542,588.45,acc=0.977 loss=0.0756
84,0.8397,588.45,acc=0.9783 loss=0.076
85,0.7813,588.45,acc=0.9774 loss=0.0768
86,0.8321,588.45,acc=0.977 loss=0.0737
87,0.8274,588.45,acc=0.9768 loss=0.0782
88,0.8048,588.45,acc=0.9757 loss=0.0768
89,0.8354,588.45,acc=0.9783 loss=0.0719
90,0.8388,588.45,acc=0.9766 loss=0.0764
91,0.8447,588.45,acc=0.9753 loss=0.0785
92,0.7915,588.45,acc=0.9787 loss=0.0733
93,0.8155,588.57,acc=0.9783 loss=0.0736
94,0.7961,588.57,acc=0.9785 loss=0.0741
95,0.8093,588.57,acc=0.9783 loss=0.0719
96,0.804,588.57,acc=0.9786 loss=0.0731
97,0.8272,588.7,acc=0.9755 loss=0.0815
98,0.7801,588.7,acc=0.9773 loss=0.0725
99,0.8234,588.7,acc=0.9754 loss=0.0783
100,0.8159,588.7,acc=0.9781 loss=0.0731
